Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (seconds)	Document Date	Closing Date	Prior Close ($)	Opening Date	Next Day Open ($)	Token Cost ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net PL	Notes / Risks Flagged
Apple	AAPL	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		2026-01-29	2026-01-29	257.80	2026-01-30	254.70	0.007147	-1.20%	FLAT	NO	1	-1.3025%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Apple	AAPL	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		2025-07-31	2025-07-31	206.75	2025-08-01	210.04	0.007011	1.59%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Apple	AAPL	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		2025-10-30	2025-10-30	270.63	2025-10-31	276.21	0.006683	2.06%	UP	YES	1	1.9619%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1400	HOLD		2026-05-06	2026-05-06	86.86	2026-05-07	87.00	0.007966	0.16%	FLAT	YES	0	0.0000%	micro=0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		2025-07-31	2025-07-31	60.19	2025-08-01	60.40	0.007279	0.35%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		2025-10-29	2025-10-29	78.76	2025-10-30	74.34	0.008589	-5.61%	DOWN	NO	1	-5.7120%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
CVS Health	CVS	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1950	HOLD		2026-02-10	2026-02-10	74.58	2026-02-11	74.58	0.007673	0.00%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2025-04-16	2025-04-16	74.51	2025-04-17	76.45	0.009676	2.60%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2026-04-15	2026-04-15	99.91	2026-04-16	95.42	0.009292	-4.49%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		2025-07-17	2025-07-17	91.93	2025-07-18	94.50	0.009653	2.80%	UP	NO	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		2025-10-15	2025-10-15	93.41	2025-10-16	93.85	0.009340	0.47%	FLAT	NO	1	0.3710%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Charles Schwab	SCHW	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		2026-01-20	2026-01-20	100.29	2026-01-21	100.63	0.009849	0.34%	FLAT	NO	1	0.2390%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		2025-04-15	2025-04-15	62.40	2025-04-16	61.17	0.006537	-1.97%	FLAT	NO	-1	1.8712%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		2025-07-15	2025-07-15	88.71	2025-07-16	89.45	0.007676	0.83%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		2025-10-14	2025-10-14	98.27	2025-10-15	99.60	0.009918	1.35%	FLAT	NO	1	1.2534%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		2026-01-14	2026-01-14	111.30	2026-01-15	112.73	0.017345	1.28%	FLAT	NO	1	1.1848%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2026-04-28	2026-04-28	77.85	2026-04-29	77.87	0.006676	0.03%	FLAT	YES	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		2025-07-22	2025-07-22	67.74	2025-07-23	67.74	0.006623	0.00%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1950	HOLD		2026-02-10	2026-02-10	75.80	2026-02-11	75.87	0.007041	0.09%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.3275	SELL		2026-05-07	2026-05-07	192.96	2026-05-08	186.05	0.007181	-3.58%	DOWN	YES	-1	3.4811%	micro=-0.35 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		2025-10-30	2025-10-30	328.51	2025-10-31	336.00	0.007314	2.28%	UP	YES	1	2.1800%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0575	HOLD		2026-02-12	2026-02-12	141.09	2026-02-13	153.70	0.007531	8.94%	UP	NO	0	0.0000%	micro=-0.10 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3325	BUY		2026-04-29	2026-04-29	849.75	2026-04-30	897.24	0.003456	5.59%	UP	YES	1	5.4887%	micro=0.85 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4100	BUY		2025-10-29	2025-10-29	809.59	2025-10-30	833.44	0.003430	2.95%	UP	YES	1	2.8459%	micro=0.50 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		2026-02-03	2026-02-03	1000.07	2026-02-04	1071.48	0.003543	7.14%	UP	YES	1	7.0405%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		2025-04-11	2025-04-11	482.28	2025-04-14	497.46	0.008151	3.15%	UP	NO	-1	-3.2475%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		2026-04-10	2026-04-10	903.82	2026-04-13	871.71	0.008619	-3.55%	DOWN	YES	-1	3.4527%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		2025-07-15	2025-07-15	688.65	2025-07-16	694.52	0.007994	0.85%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2026	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2026-07-13	2026-07-13	1045.91	2026-07-14	1085.00	0.007519	3.74%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3275	BUY		2025-10-13	2025-10-13	775.38	2025-10-14	753.38	0.007171	-2.84%	DOWN	NO	1	-2.9373%	micro=0.35 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		2026-01-14	2026-01-14	923.72	2026-01-15	916.02	0.008229	-0.83%	FLAT	NO	1	-0.9336%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2026-04-22	2026-04-22	250.02	2026-04-23	230.57	0.004533	-7.78%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3200	BUY		2025-07-23	2025-07-23	274.98	2025-07-24	254.73	0.005102	-7.36%	DOWN	NO	1	-7.4642%	micro=0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		2026-01-28	2026-01-28	290.36	2026-01-29	313.75	0.004990	8.06%	UP	YES	1	7.9555%	micro=0.35 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		2026-05-21	2026-05-21	217.41	2026-05-22	217.22	0.006953	-0.09%	FLAT	NO	-1	-0.0126%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		2026-05-20	2026-05-20	221.05	2026-05-21	217.75	0.007282	-1.49%	FLAT	NO	-1	1.3929%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0825	HOLD		2025-08-20	2025-08-20	253.52	2025-08-21	252.48	0.006741	-0.41%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		2025-11-19	2025-11-19	226.30	2025-11-20	225.98	0.006449	-0.14%	FLAT	NO	-1	0.0414%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1275	SELL		2026-02-25	2026-02-25	261.76	2026-02-26	262.08	0.007562	0.12%	FLAT	NO	-1	-0.2222%	micro=-0.15 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		2026-06-04	2026-06-04	124.92	2026-06-05	110.43	0.006916	-11.60%	DOWN	YES	-1	11.4994%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		2025-12-11	2025-12-11	187.01	2025-12-12	204.58	0.008574	9.40%	UP	NO	-1	-9.4952%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.3200	SELL		2026-03-17	2026-03-17	159.27	2026-03-18	158.04	0.008551	-0.77%	FLAT	NO	-1	0.6723%	micro=-0.50 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0000	HOLD		2025-02-05	2025-02-05	6.99	2025-02-06	7.13	0.005196	2.00%	UP	NO	0	0.0000%	micro=0.00 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3200	BUY		2025-08-07	2025-08-07	10.40	2025-08-08	10.49	0.005273	0.87%	FLAT	NO	1	0.7654%	micro=0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3275	BUY		2025-11-05	2025-11-05	10.08	2025-11-06	9.52	0.005012	-5.56%	DOWN	NO	1	-5.6556%	micro=0.35 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		2014-02-28	2014-02-28	4.44	2014-03-03	4.31	0.004087	-2.93%	DOWN	YES	-1	2.8279%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1900	SELL		2026-05-07	2026-05-07	281.79	2026-05-08	283.08	0.003727	0.46%	FLAT	NO	-1	-0.5578%	micro=-0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2024	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1000	SELL		2025-02-10	2025-02-10	297.70	2025-02-11	296.68	0.005491	-0.34%	FLAT	NO	-1	0.2426%	micro=-0.10 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2500	HOLD		2026-02-11	2026-02-11	319.25	2026-02-12	325.79	0.004915	2.05%	UP	NO	0	0.0000%	micro=0.25 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		2026-04-29	2026-04-29	668.50	2026-04-30	618.75	0.006727	-7.44%	DOWN	YES	-1	7.3420%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1125	SELL		2025-10-29	2025-10-29	749.72	2025-10-30	667.41	0.006683	-10.98%	DOWN	YES	-1	10.8788%	micro=-0.45 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		2026-01-28	2026-01-28	667.54	2026-01-29	736.12	0.006905	10.27%	UP	YES	1	10.1735%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		2024-10-01	2024-10-01	85.31	2024-10-02	79.34	0.003236	-7.00%	DOWN	YES	-1	6.8980%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		2024-12-19	2024-12-19	74.17	2024-12-20	73.07	0.003382	-1.48%	FLAT	NO	-1	1.3831%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2750	SELL		2025-03-20	2025-03-20	69.48	2025-03-21	64.38	0.003508	-7.34%	DOWN	YES	-1	7.2402%	micro=-0.50 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2750	SELL		2025-02-26	2025-02-26	131.08	2025-02-27	134.80	0.003276	2.84%	UP	NO	-1	-2.9380%	micro=-0.50 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0325	HOLD		2025-05-28	2025-05-28	134.62	2025-05-29	142.05	0.003677	5.52%	UP	NO	0	0.0000%	micro=0.35 macro=-0.50 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3300	BUY		2025-08-27	2025-08-27	181.36	2025-08-28	180.58	0.004084	-0.43%	FLAT	NO	1	-0.5301%	micro=0.60 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4575	BUY		2025-11-19	2025-11-19	186.28	2025-11-20	195.70	0.003756	5.06%	UP	YES	1	4.9569%	micro=0.75 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0800	SELL		2026-04-22	2026-04-22	387.51	2026-04-23	375.28	0.005918	-3.16%	DOWN	YES	-1	3.0560%	micro=0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2450	HOLD		2025-10-22	2025-10-22	438.97	2025-10-23	420.00	0.006623	-4.32%	DOWN	NO	0	0.0000%	micro=0.20 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4425	BUY		2026-01-28	2026-01-28	431.46	2026-01-29	437.80	0.006869	1.47%	FLAT	NO	1	1.3694%	micro=0.60 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2025-05-06	2025-05-06	85.83	2025-05-07	83.13	0.007658	-3.15%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		2026-05-05	2026-05-05	72.95	2026-05-06	77.46	0.007912	6.18%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		2025-08-05	2025-08-05	89.39	2025-08-06	90.95	0.007644	1.75%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		2026-02-03	2026-02-03	77.93	2026-02-04	75.62	0.008668	-2.96%	DOWN	NO	1	-3.0642%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
