Company	Ticker	Year	Quarter	Rater	Type (Human/LLM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins) Humans only	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Position	Net P&L	Notes / Risks Flagged
Charles Schwab	SCHW	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		100.29	100.63	0.34%	FLAT	NO	1	0.2390%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		62.40	61.17	-1.97%	FLAT	NO	-1	1.8712%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		88.71	89.45	0.83%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		98.27	99.60	1.35%	FLAT	NO	1	1.2534%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Citigroup	C	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		111.30	112.73	1.28%	FLAT	NO	1	1.1848%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		77.85	77.87	0.03%	FLAT	YES	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		67.74	67.74	0.00%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coca-Cola	KO	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1950	HOLD		75.80	75.87	0.09%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.3275	SELL		192.96	186.05	-3.58%	DOWN	YES	-1	3.4811%	micro=-0.35 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		328.51	336.00	2.28%	UP	YES	1	2.1800%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Coinbase	COIN	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0575	HOLD		141.09	153.70	8.94%	UP	NO	0	0.0000%	micro=-0.10 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3325	BUY		849.75	897.24	5.59%	UP	YES	1	5.4887%	micro=0.85 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4100	BUY		809.59	833.44	2.95%	UP	YES	1	2.8459%	micro=0.50 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Eli Lilly	LLY	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		1000.07	1071.48	7.14%	UP	YES	1	7.0405%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		482.28	497.46	3.15%	UP	NO	-1	-3.2475%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		903.82	871.71	-3.55%	DOWN	YES	-1	3.4527%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		688.65	694.52	0.85%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2026	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		1045.91	1085.00	3.74%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3275	BUY		775.38	753.38	-2.84%	DOWN	NO	1	-2.9373%	micro=0.35 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Goldman Sachs	GS	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		923.72	916.02	-0.83%	FLAT	NO	1	-0.9336%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		250.02	230.57	-7.78%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3200	BUY		274.98	254.73	-7.36%	DOWN	NO	1	-7.4642%	micro=0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
IBM	IBM	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3050	BUY		290.36	313.75	8.06%	UP	YES	1	7.9555%	micro=0.35 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		217.41	217.22	-0.09%	FLAT	NO	-1	-0.0126%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		221.05	217.75	-1.49%	FLAT	NO	-1	1.3929%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0825	HOLD		253.52	252.48	-0.41%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		226.30	225.98	-0.14%	FLAT	NO	-1	0.0414%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lowe's	LOW	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1275	SELL		261.76	262.08	0.12%	FLAT	NO	-1	-0.2222%	micro=-0.15 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		124.92	110.43	-11.60%	DOWN	YES	-1	11.4994%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2300	SELL		187.01	204.58	9.40%	UP	NO	-1	-9.4952%	micro=-0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Lululemon	LULU	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.3200	SELL		159.27	158.04	-0.77%	FLAT	NO	-1	0.6723%	micro=-0.50 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0000	HOLD		6.99	7.13	2.00%	UP	NO	0	0.0000%	micro=0.00 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3200	BUY		10.40	10.49	0.87%	FLAT	NO	1	0.7654%	micro=0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3275	BUY		10.08	9.52	-5.56%	DOWN	NO	1	-5.6556%	micro=0.35 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Maersk	AMKBY	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		4.44	4.31	-2.93%	DOWN	YES	-1	2.8279%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1900	SELL		281.79	283.08	0.46%	FLAT	NO	-1	-0.5578%	micro=-0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2024	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1000	SELL		297.70	296.68	-0.34%	FLAT	NO	-1	0.2426%	micro=-0.10 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
McDonald's	MCD	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2500	HOLD		319.25	325.79	2.05%	UP	NO	0	0.0000%	micro=0.25 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.4100	SELL		668.50	618.75	-7.44%	DOWN	YES	-1	7.3420%	micro=-0.50 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1125	SELL		749.72	667.41	-10.98%	DOWN	YES	-1	10.8788%	micro=-0.45 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Meta	META	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3875	BUY		667.54	736.12	10.27%	UP	YES	1	10.1735%	micro=0.50 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		85.31	79.34	-7.00%	DOWN	YES	-1	6.8980%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.5000	SELL		74.17	73.07	-1.48%	FLAT	NO	-1	1.3831%	micro=-0.50 macro=n/a w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nike	NKE	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2750	SELL		69.48	64.38	-7.34%	DOWN	YES	-1	7.2402%	micro=-0.50 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.2750	SELL		131.08	134.80	2.84%	UP	NO	-1	-2.9380%	micro=-0.50 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0325	HOLD		134.62	142.05	5.52%	UP	NO	0	0.0000%	micro=0.35 macro=-0.50 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3300	BUY		181.36	180.58	-0.43%	FLAT	NO	1	-0.5301%	micro=0.60 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Nvidia	NVDA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4575	BUY		186.28	195.70	5.06%	UP	YES	1	4.9569%	micro=0.75 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0800	SELL		387.51	375.28	-3.16%	DOWN	YES	-1	3.0560%	micro=0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2450	HOLD		438.97	420.00	-4.32%	DOWN	NO	0	0.0000%	micro=0.20 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Tesla	TSLA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.4425	BUY		431.46	437.80	1.47%	FLAT	NO	1	1.3694%	micro=0.60 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		85.83	83.13	-3.15%	DOWN	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0300	HOLD		72.95	77.46	6.18%	UP	NO	0	0.0000%	micro=0.30 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2100	HOLD		89.39	90.95	1.75%	FLAT	YES	0	0.0000%	micro=0.30 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Uber	UBER	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2775	BUY		77.93	75.62	-2.96%	DOWN	NO	1	-3.0642%	micro=0.30 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Walmart	WMT	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0800	SELL		96.03	93.52	-2.61%	DOWN	YES	-1	2.5138%	micro=0.10 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Walmart	WMT	2026	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.0525	SELL		130.85	124.41	-4.92%	DOWN	YES	-1	4.8217%	micro=0.15 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Walmart	WMT	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1650	HOLD		101.96	98.82	-3.08%	DOWN	NO	0	0.0000%	micro=0.30 macro=0.00 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Walmart	WMT	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3200	BUY		100.01	103.32	3.31%	UP	YES	1	3.2097%	micro=0.50 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Walmart	WMT	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1200	HOLD		126.12	127.99	1.48%	FLAT	YES	0	0.0000%	micro=0.30 macro=-0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Bank of America	BAC	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1350	SELL		36.96	36.84	-0.32%	FLAT	NO	-1	0.2247%	micro=0.00 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Bank of America	BAC	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1275	HOLD		45.17	45.26	0.20%	FLAT	YES	0	0.0000%	micro=0.15 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Bank of America	BAC	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.3000	BUY		49.29	50.75	2.96%	UP	YES	1	2.8621%	micro=0.30 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Bank of America	BAC	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2500	HOLD		53.95	52.31	-3.04%	DOWN	NO	0	0.0000%	micro=0.25 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Boeing	BA	2025	Q1	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.0025	HOLD		172.37	171.20	-0.68%	FLAT	YES	0	0.0000%	micro=0.25 macro=-0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Boeing	BA	2025	Q2	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.1550	HOLD		226.08	227.84	0.78%	FLAT	YES	0	0.0000%	micro=0.20 macro=0.10 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Boeing	BA	2025	Q3	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	-0.1400	SELL		213.58	210.01	-1.67%	FLAT	NO	-1	1.5715%	micro=-0.50 macro=0.30 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
Boeing	BA	2025	Q4	Ben/DeepSeek (aggressive: micro.55/macro.45)	LLM	0.2500	HOLD		248.43	242.50	-2.39%	DOWN	NO	0	0.0000%	micro=0.25 macro=0.25 w=[0.55,0.45,0,0] thr=(0.25,-0.05) - PSR=0.0/perm_p=0.150, unvalidated
