rater,report_date,ticker,decision,gap,net,equity,document_id
LLM (DeepSeek),2026-01-30,AXP,BUY,-0.0098,-0.0108,1.3476079,AXP_FQ4_2025
LLM (DeepSeek),2026-01-30,CL,HOLD,0.0406,0.0,1.3476079,CL_FQ4_2025
LLM (DeepSeek),2026-01-30,CVX,BUY,0.0084,0.0074,1.3575802,CVX_FQ4_2025
LLM (DeepSeek),2026-01-30,XOM,BUY,-0.0126,-0.0136,1.3391171,XOM_FQ4_2025
LLM (DeepSeek),2026-02-01,NSRGY,HOLD,0.0244,0.0,1.3391171,NSRGY_FQ1_2026
LLM (DeepSeek),2026-02-01,SHEL,BUY,-0.0129,-0.0139,1.3205034,SHEL_FQ4_2025
LLM (DeepSeek),2026-02-01,SONY,BUY,-0.0005,-0.0015,1.3185226,SONY_FQ3_2025
LLM (DeepSeek),2026-02-04,UNP,SELL,0.0043,-0.0053,1.3115345,UNP_FQ4_2025
LLM (DeepSeek),2026-02-10,DDOG,BUY,0.0892,0.0882,1.4272118,DDOG_FQ4_2025
LLM (DeepSeek),2026-02-10,DUK,BUY,0.0039,0.0029,1.4313507,DUK_FQ4_2025
LLM (DeepSeek),2026-02-11,SHOP,BUY,0.0916,0.0906,1.5610311,SHOP_FQ4_2025
LLM (DeepSeek),2026-02-12,RMSP.XC,HOLD,0.0308,0.0,1.5610311,RMS_FQ4_2025
LLM (DeepSeek),2026-02-24,HD,SELL,0.0321,-0.0331,1.509361,HD_FQ4_2025
LLM (DeepSeek),2026-03-05,COST,HOLD,-0.0158,-0.0,1.509361,COST_FQ2_2026
LLM (DeepSeek),2026-03-12,ADBE,HOLD,-0.077,-0.0,1.509361,ADBE_FQ1_2026
LLM (DeepSeek),2026-04-23,AXP,HOLD,-0.0021,-0.0,1.509361,AXP_FQ1_2026
LLM (DeepSeek),2026-04-23,FCX,SELL,-0.115,0.114,1.6814281,FCX_FQ1_2026
LLM (DeepSeek),2026-04-23,INTC,HOLD,0.2309,0.0,1.6814281,INTC_FQ1_2026
LLM (DeepSeek),2026-04-24,CL,SELL,0.01,-0.011,1.6629324,CL_FQ1_2026
LLM (DeepSeek),2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.6629324,EBAY_FQ1_2026
LLM (DeepSeek),2026-04-30,MA,HOLD,-0.0395,-0.0,1.6629324,MA_FQ1_2026
LLM (DeepSeek),2026-05-01,CVX,HOLD,-0.0104,-0.0,1.6629324,CVX_FQ1_2026
LLM (DeepSeek),2026-05-01,SHEL,HOLD,-0.0052,-0.0,1.6629324,SHEL_FQ1_2026
LLM (DeepSeek),2026-05-01,XOM,HOLD,-0.0111,-0.0,1.6629324,XOM_FQ1_2026
LLM (DeepSeek),2026-05-05,DUK,HOLD,0.0114,0.0,1.6629324,DUK_FQ1_2026
LLM (DeepSeek),2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.6629324,SHOP_FQ1_2026
LLM (DeepSeek),2026-05-06,UNP,HOLD,0.0054,0.0,1.6629324,UNP_FQ1_2026
LLM (DeepSeek),2026-05-07,DDOG,BUY,0.3081,0.3071,2.1736189,DDOG_FQ1_2026
LLM (DeepSeek),2026-05-19,HD,HOLD,-0.0265,-0.0,2.1736189,HD_FQ1_2026
LLM (DeepSeek),2026-05-28,COST,HOLD,-0.0087,-0.0,2.1736189,COST_FQ3_2026
LLM (DeepSeek),2026-06-11,ADBE,BUY,-0.075,-0.076,2.0084239,ADBE_FQ2_2026
LLM (DeepSeek),2026-07-31,CL,HOLD,-0.0082,-0.0,2.0084239,CL_FQ2_2026
LLM (DeepSeek),2026-08-01,SONY,HOLD,-0.0241,-0.0,2.0084239,SONY_FQ1_2026
baseline: always-long,2023-04-28,XOM,BUY,0.0036,0.0026,1.0026,XOM_FQ1_2023
baseline: always-long,2023-05-09,DUK,BUY,-0.0119,-0.0129,0.9896665,DUK_FQ1_2023
baseline: always-long,2023-07-28,XOM,BUY,-0.0029,-0.0039,0.9858068,XOM_FQ2_2023
baseline: always-long,2023-08-08,DUK,BUY,0.0069,0.0059,0.991623,DUK_FQ2_2023
baseline: always-long,2023-10-27,XOM,BUY,0.012,0.011,1.0025309,XOM_FQ3_2023
baseline: always-long,2023-11-02,DUK,BUY,-0.0004,-0.0014,1.0011273,DUK_FQ3_2023
baseline: always-long,2024-02-02,XOM,BUY,0.0133,0.0123,1.0134412,XOM_FQ4_2023
baseline: always-long,2024-02-08,DUK,BUY,-0.008,-0.009,1.0043202,DUK_FQ4_2023
baseline: always-long,2024-03-01,HEIA.AS,BUY,0.0049,0.0039,1.0082371,HEINY_FQ1_2024
baseline: always-long,2024-04-26,XOM,BUY,-0.0192,-0.0202,0.9878707,XOM_FQ1_2024
baseline: always-long,2024-05-07,DUK,BUY,0.0058,0.0048,0.9926125,DUK_FQ1_2024
baseline: always-long,2024-07-01,HEIA.AS,BUY,0.0055,0.0045,0.9970792,HEINY_FQ2_2024
baseline: always-long,2024-08-02,XOM,BUY,-0.0084,-0.0094,0.9877067,XOM_FQ2_2024
baseline: always-long,2024-08-06,DUK,BUY,0.0133,0.0123,0.9998555,DUK_FQ2_2024
baseline: always-long,2024-10-01,HEIA.AS,BUY,0.0005,-0.0005,0.9993555,HEINY_FQ3_2024
baseline: always-long,2024-10-01,NSRGY,BUY,-0.0037,-0.0047,0.9946586,NSRGY_FQ3_2024
baseline: always-long,2024-11-01,XOM,BUY,0.027,0.026,1.0205197,XOM_FQ3_2024
baseline: always-long,2024-11-07,DUK,BUY,-0.0087,-0.0097,1.0106207,DUK_FQ3_2024
baseline: always-long,2025-01-31,XOM,BUY,0.0089,0.0079,1.0186046,XOM_FQ4_2024
baseline: always-long,2025-02-13,DUK,BUY,-0.0092,-0.0102,1.0082148,DUK_FQ4_2024
baseline: always-long,2025-04-17,RMSP.XC,BUY,-0.0287,-0.0297,0.9782708,RMS_FQ1_2025
baseline: always-long,2025-04-30,EBAY,BUY,0.0277,0.0267,1.0043906,EBAY_FQ1_2025
baseline: always-long,2025-05-02,XOM,BUY,0.0183,0.0173,1.0217666,XOM_FQ1_2025
baseline: always-long,2025-05-06,DUK,BUY,0.0104,0.0094,1.0313712,DUK_FQ1_2025
baseline: always-long,2025-07-18,AXP,BUY,-0.0111,-0.0121,1.0188916,AXP_FQ2_2025
baseline: always-long,2025-07-23,FCX,BUY,-0.0249,-0.0259,0.9925023,FCX_FQ2_2025
baseline: always-long,2025-07-24,INTC,BUY,-0.0862,-0.0872,0.9059561,INTC_FQ2_2025
baseline: always-long,2025-07-30,EBAY,BUY,0.1372,0.1362,1.0293473,EBAY_FQ2_2025
baseline: always-long,2025-07-30,RMSP.XC,BUY,-0.0364,-0.0374,0.9908498,RMS_FQ2_2025
baseline: always-long,2025-07-31,MA,BUY,0.0169,0.0159,1.0066043,MA_FQ2_2025
baseline: always-long,2025-08-01,CVX,BUY,0.0059,0.0049,1.0115366,CVX_FQ2_2025
baseline: always-long,2025-08-01,SHEL,BUY,0.0047,0.0037,1.0152793,SHEL_FQ2_2025
baseline: always-long,2025-08-01,XOM,BUY,0.0032,0.0022,1.0175129,XOM_FQ2_2025
baseline: always-long,2025-08-05,DUK,BUY,0.0225,0.0215,1.0393894,DUK_FQ2_2025
baseline: always-long,2025-08-07,DDOG,BUY,0.0788,0.0778,1.1202539,DDOG_FQ2_2025
baseline: always-long,2025-08-19,HD,BUY,0.016,0.015,1.1370578,HD_FQ2_2025
baseline: always-long,2025-08-21,UNP,BUY,-0.0009,-0.0019,1.1348973,UNP_FQ2_2025
baseline: always-long,2025-09-11,ADBE,BUY,0.0301,0.0291,1.1679229,ADBE_FQ3_2025
baseline: always-long,2025-09-25,COST,BUY,-0.0188,-0.0198,1.144798,COST_FQ4_2025
baseline: always-long,2025-10-01,HEIA.AS,BUY,-0.0027,-0.0037,1.1405622,HEINY_FQ3_2025
baseline: always-long,2025-10-17,AXP,BUY,0.0287,0.0277,1.1721558,AXP_FQ3_2025
baseline: always-long,2025-10-22,RMSP.XC,BUY,-0.0334,-0.0344,1.1318337,RMS_FQ3_2025
baseline: always-long,2025-10-23,INTC,BUY,0.0487,0.0477,1.1858221,INTC_FQ3_2025
baseline: always-long,2025-10-29,EBAY,BUY,-0.14,-0.141,1.0186212,EBAY_FQ3_2025
baseline: always-long,2025-10-30,MA,BUY,-0.0054,-0.0064,1.012102,MA_FQ3_2025
baseline: always-long,2025-10-31,CL,BUY,-0.0125,-0.0135,0.9984386,CL_FQ3_2025
baseline: always-long,2025-10-31,CVX,BUY,0.0144,0.0134,1.0118177,CVX_FQ3_2025
baseline: always-long,2025-10-31,XOM,BUY,-0.0062,-0.0072,1.0045326,XOM_FQ3_2025
baseline: always-long,2025-11-01,SHEL,BUY,-0.0009,-0.0019,1.002624,SHEL_FQ3_2025
baseline: always-long,2025-11-01,SONY,BUY,0.0029,0.0019,1.004529,SONY_FQ2_2025
baseline: always-long,2025-11-04,SHOP,BUY,-0.0571,-0.0581,0.9461659,SHOP_FQ3_2025
baseline: always-long,2025-11-05,UNP,BUY,-0.0053,-0.0063,0.940205,UNP_FQ3_2025
baseline: always-long,2025-11-06,DDOG,BUY,0.1543,0.1533,1.0843385,DDOG_FQ3_2025
baseline: always-long,2025-11-07,DUK,BUY,0.0008,-0.0002,1.0841216,DUK_FQ3_2025
baseline: always-long,2025-11-18,HD,BUY,-0.0504,-0.0514,1.0283977,HD_FQ3_2025
baseline: always-long,2025-12-10,ADBE,BUY,-0.0043,-0.0053,1.0229472,ADBE_FQ4_2025
baseline: always-long,2025-12-11,COST,BUY,-0.0013,-0.0023,1.0205945,COST_FQ1_2026
baseline: always-long,2026-01-22,FCX,BUY,0.0033,0.0023,1.0229418,FCX_FQ4_2025
baseline: always-long,2026-01-22,INTC,BUY,-0.1373,-0.1383,0.881469,INTC_FQ4_2025
baseline: always-long,2026-01-29,MA,BUY,0.02,0.019,0.8982169,MA_FQ4_2025
baseline: always-long,2026-01-30,AXP,BUY,-0.0098,-0.0108,0.8885161,AXP_FQ4_2025
baseline: always-long,2026-01-30,CL,BUY,0.0406,0.0396,0.9237014,CL_FQ4_2025
baseline: always-long,2026-01-30,CVX,BUY,0.0084,0.0074,0.9305368,CVX_FQ4_2025
baseline: always-long,2026-01-30,XOM,BUY,-0.0126,-0.0136,0.9178815,XOM_FQ4_2025
baseline: always-long,2026-02-01,NSRGY,BUY,0.0244,0.0234,0.9393599,NSRGY_FQ1_2026
baseline: always-long,2026-02-01,SHEL,BUY,-0.0129,-0.0139,0.9263028,SHEL_FQ4_2025
baseline: always-long,2026-02-01,SONY,BUY,-0.0005,-0.0015,0.9249133,SONY_FQ3_2025
baseline: always-long,2026-02-04,UNP,BUY,0.0043,0.0033,0.9279655,UNP_FQ4_2025
baseline: always-long,2026-02-10,DDOG,BUY,0.0892,0.0882,1.0098121,DDOG_FQ4_2025
baseline: always-long,2026-02-10,DUK,BUY,0.0039,0.0029,1.0127406,DUK_FQ4_2025
baseline: always-long,2026-02-11,SHOP,BUY,0.0916,0.0906,1.1044949,SHOP_FQ4_2025
baseline: always-long,2026-02-12,RMSP.XC,BUY,0.0308,0.0298,1.1374088,RMS_FQ4_2025
baseline: always-long,2026-02-24,HD,BUY,0.0321,0.0311,1.1727822,HD_FQ4_2025
baseline: always-long,2026-03-05,COST,BUY,-0.0158,-0.0168,1.1530795,COST_FQ2_2026
baseline: always-long,2026-03-12,ADBE,BUY,-0.077,-0.078,1.0631393,ADBE_FQ1_2026
baseline: always-long,2026-04-23,AXP,BUY,-0.0021,-0.0031,1.0598435,AXP_FQ1_2026
baseline: always-long,2026-04-23,FCX,BUY,-0.115,-0.116,0.9369017,FCX_FQ1_2026
baseline: always-long,2026-04-23,INTC,BUY,0.2309,0.2299,1.1522954,INTC_FQ1_2026
baseline: always-long,2026-04-24,CL,BUY,0.01,0.009,1.1626661,CL_FQ1_2026
baseline: always-long,2026-04-29,EBAY,BUY,-0.0358,-0.0368,1.1198799,EBAY_FQ1_2026
baseline: always-long,2026-04-30,MA,BUY,-0.0395,-0.0405,1.0745248,MA_FQ1_2026
baseline: always-long,2026-05-01,CVX,BUY,-0.0104,-0.0114,1.0622752,CVX_FQ1_2026
baseline: always-long,2026-05-01,SHEL,BUY,-0.0052,-0.0062,1.0556891,SHEL_FQ1_2026
baseline: always-long,2026-05-01,XOM,BUY,-0.0111,-0.0121,1.0429153,XOM_FQ1_2026
baseline: always-long,2026-05-05,DUK,BUY,0.0114,0.0104,1.0537616,DUK_FQ1_2026
baseline: always-long,2026-05-05,SHOP,BUY,-0.0902,-0.0912,0.9576585,SHOP_FQ1_2026
baseline: always-long,2026-05-06,UNP,BUY,0.0054,0.0044,0.9618722,UNP_FQ1_2026
baseline: always-long,2026-05-07,DDOG,BUY,0.3081,0.3071,1.2572632,DDOG_FQ1_2026
baseline: always-long,2026-05-19,HD,BUY,-0.0265,-0.0275,1.2226885,HD_FQ1_2026
baseline: always-long,2026-05-28,COST,BUY,-0.0087,-0.0097,1.2108284,COST_FQ3_2026
baseline: always-long,2026-06-11,ADBE,BUY,-0.075,-0.076,1.1188054,ADBE_FQ2_2026
baseline: always-long,2026-07-31,CL,BUY,-0.0082,-0.0092,1.1085124,CL_FQ2_2026
baseline: always-long,2026-08-01,SONY,BUY,-0.0241,-0.0251,1.0806888,SONY_FQ1_2026
baseline: always-flat,2023-04-28,XOM,HOLD,0.0036,0.0,1.0,XOM_FQ1_2023
baseline: always-flat,2023-05-09,DUK,HOLD,-0.0119,-0.0,1.0,DUK_FQ1_2023
baseline: always-flat,2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0,XOM_FQ2_2023
baseline: always-flat,2023-08-08,DUK,HOLD,0.0069,0.0,1.0,DUK_FQ2_2023
baseline: always-flat,2023-10-27,XOM,HOLD,0.012,0.0,1.0,XOM_FQ3_2023
baseline: always-flat,2023-11-02,DUK,HOLD,-0.0004,-0.0,1.0,DUK_FQ3_2023
baseline: always-flat,2024-02-02,XOM,HOLD,0.0133,0.0,1.0,XOM_FQ4_2023
baseline: always-flat,2024-02-08,DUK,HOLD,-0.008,-0.0,1.0,DUK_FQ4_2023
baseline: always-flat,2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.0,HEINY_FQ1_2024
baseline: always-flat,2024-04-26,XOM,HOLD,-0.0192,-0.0,1.0,XOM_FQ1_2024
baseline: always-flat,2024-05-07,DUK,HOLD,0.0058,0.0,1.0,DUK_FQ1_2024
baseline: always-flat,2024-07-01,HEIA.AS,HOLD,0.0055,0.0,1.0,HEINY_FQ2_2024
baseline: always-flat,2024-08-02,XOM,HOLD,-0.0084,-0.0,1.0,XOM_FQ2_2024
baseline: always-flat,2024-08-06,DUK,HOLD,0.0133,0.0,1.0,DUK_FQ2_2024
baseline: always-flat,2024-10-01,HEIA.AS,HOLD,0.0005,0.0,1.0,HEINY_FQ3_2024
baseline: always-flat,2024-10-01,NSRGY,HOLD,-0.0037,-0.0,1.0,NSRGY_FQ3_2024
baseline: always-flat,2024-11-01,XOM,HOLD,0.027,0.0,1.0,XOM_FQ3_2024
baseline: always-flat,2024-11-07,DUK,HOLD,-0.0087,-0.0,1.0,DUK_FQ3_2024
baseline: always-flat,2025-01-31,XOM,HOLD,0.0089,0.0,1.0,XOM_FQ4_2024
baseline: always-flat,2025-02-13,DUK,HOLD,-0.0092,-0.0,1.0,DUK_FQ4_2024
baseline: always-flat,2025-04-17,RMSP.XC,HOLD,-0.0287,-0.0,1.0,RMS_FQ1_2025
baseline: always-flat,2025-04-30,EBAY,HOLD,0.0277,0.0,1.0,EBAY_FQ1_2025
baseline: always-flat,2025-05-02,XOM,HOLD,0.0183,0.0,1.0,XOM_FQ1_2025
baseline: always-flat,2025-05-06,DUK,HOLD,0.0104,0.0,1.0,DUK_FQ1_2025
baseline: always-flat,2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0,AXP_FQ2_2025
baseline: always-flat,2025-07-23,FCX,HOLD,-0.0249,-0.0,1.0,FCX_FQ2_2025
baseline: always-flat,2025-07-24,INTC,HOLD,-0.0862,-0.0,1.0,INTC_FQ2_2025
baseline: always-flat,2025-07-30,EBAY,HOLD,0.1372,0.0,1.0,EBAY_FQ2_2025
baseline: always-flat,2025-07-30,RMSP.XC,HOLD,-0.0364,-0.0,1.0,RMS_FQ2_2025
baseline: always-flat,2025-07-31,MA,HOLD,0.0169,0.0,1.0,MA_FQ2_2025
baseline: always-flat,2025-08-01,CVX,HOLD,0.0059,0.0,1.0,CVX_FQ2_2025
baseline: always-flat,2025-08-01,SHEL,HOLD,0.0047,0.0,1.0,SHEL_FQ2_2025
baseline: always-flat,2025-08-01,XOM,HOLD,0.0032,0.0,1.0,XOM_FQ2_2025
baseline: always-flat,2025-08-05,DUK,HOLD,0.0225,0.0,1.0,DUK_FQ2_2025
baseline: always-flat,2025-08-07,DDOG,HOLD,0.0788,0.0,1.0,DDOG_FQ2_2025
baseline: always-flat,2025-08-19,HD,HOLD,0.016,0.0,1.0,HD_FQ2_2025
baseline: always-flat,2025-08-21,UNP,HOLD,-0.0009,-0.0,1.0,UNP_FQ2_2025
baseline: always-flat,2025-09-11,ADBE,HOLD,0.0301,0.0,1.0,ADBE_FQ3_2025
baseline: always-flat,2025-09-25,COST,HOLD,-0.0188,-0.0,1.0,COST_FQ4_2025
baseline: always-flat,2025-10-01,HEIA.AS,HOLD,-0.0027,-0.0,1.0,HEINY_FQ3_2025
baseline: always-flat,2025-10-17,AXP,HOLD,0.0287,0.0,1.0,AXP_FQ3_2025
baseline: always-flat,2025-10-22,RMSP.XC,HOLD,-0.0334,-0.0,1.0,RMS_FQ3_2025
baseline: always-flat,2025-10-23,INTC,HOLD,0.0487,0.0,1.0,INTC_FQ3_2025
baseline: always-flat,2025-10-29,EBAY,HOLD,-0.14,-0.0,1.0,EBAY_FQ3_2025
baseline: always-flat,2025-10-30,MA,HOLD,-0.0054,-0.0,1.0,MA_FQ3_2025
baseline: always-flat,2025-10-31,CL,HOLD,-0.0125,-0.0,1.0,CL_FQ3_2025
baseline: always-flat,2025-10-31,CVX,HOLD,0.0144,0.0,1.0,CVX_FQ3_2025
baseline: always-flat,2025-10-31,XOM,HOLD,-0.0062,-0.0,1.0,XOM_FQ3_2025
baseline: always-flat,2025-11-01,SHEL,HOLD,-0.0009,-0.0,1.0,SHEL_FQ3_2025
baseline: always-flat,2025-11-01,SONY,HOLD,0.0029,0.0,1.0,SONY_FQ2_2025
baseline: always-flat,2025-11-04,SHOP,HOLD,-0.0571,-0.0,1.0,SHOP_FQ3_2025
baseline: always-flat,2025-11-05,UNP,HOLD,-0.0053,-0.0,1.0,UNP_FQ3_2025
baseline: always-flat,2025-11-06,DDOG,HOLD,0.1543,0.0,1.0,DDOG_FQ3_2025
baseline: always-flat,2025-11-07,DUK,HOLD,0.0008,0.0,1.0,DUK_FQ3_2025
baseline: always-flat,2025-11-18,HD,HOLD,-0.0504,-0.0,1.0,HD_FQ3_2025
baseline: always-flat,2025-12-10,ADBE,HOLD,-0.0043,-0.0,1.0,ADBE_FQ4_2025
baseline: always-flat,2025-12-11,COST,HOLD,-0.0013,-0.0,1.0,COST_FQ1_2026
baseline: always-flat,2026-01-22,FCX,HOLD,0.0033,0.0,1.0,FCX_FQ4_2025
baseline: always-flat,2026-01-22,INTC,HOLD,-0.1373,-0.0,1.0,INTC_FQ4_2025
baseline: always-flat,2026-01-29,MA,HOLD,0.02,0.0,1.0,MA_FQ4_2025
baseline: always-flat,2026-01-30,AXP,HOLD,-0.0098,-0.0,1.0,AXP_FQ4_2025
baseline: always-flat,2026-01-30,CL,HOLD,0.0406,0.0,1.0,CL_FQ4_2025
baseline: always-flat,2026-01-30,CVX,HOLD,0.0084,0.0,1.0,CVX_FQ4_2025
baseline: always-flat,2026-01-30,XOM,HOLD,-0.0126,-0.0,1.0,XOM_FQ4_2025
baseline: always-flat,2026-02-01,NSRGY,HOLD,0.0244,0.0,1.0,NSRGY_FQ1_2026
baseline: always-flat,2026-02-01,SHEL,HOLD,-0.0129,-0.0,1.0,SHEL_FQ4_2025
baseline: always-flat,2026-02-01,SONY,HOLD,-0.0005,-0.0,1.0,SONY_FQ3_2025
baseline: always-flat,2026-02-04,UNP,HOLD,0.0043,0.0,1.0,UNP_FQ4_2025
baseline: always-flat,2026-02-10,DDOG,HOLD,0.0892,0.0,1.0,DDOG_FQ4_2025
baseline: always-flat,2026-02-10,DUK,HOLD,0.0039,0.0,1.0,DUK_FQ4_2025
baseline: always-flat,2026-02-11,SHOP,HOLD,0.0916,0.0,1.0,SHOP_FQ4_2025
baseline: always-flat,2026-02-12,RMSP.XC,HOLD,0.0308,0.0,1.0,RMS_FQ4_2025
baseline: always-flat,2026-02-24,HD,HOLD,0.0321,0.0,1.0,HD_FQ4_2025
baseline: always-flat,2026-03-05,COST,HOLD,-0.0158,-0.0,1.0,COST_FQ2_2026
baseline: always-flat,2026-03-12,ADBE,HOLD,-0.077,-0.0,1.0,ADBE_FQ1_2026
baseline: always-flat,2026-04-23,AXP,HOLD,-0.0021,-0.0,1.0,AXP_FQ1_2026
