# Section ablation extension results
# Run ID: 20260813T234207Z
# Four-arm N: 56, Two-arm N: 93
# Grading: +-2% raw overnight band (pre-registered)
# hold_upper: 0.25, hold_lower: -0.05

document_id,arm,sentiment_score,signal,input_tokens,output_tokens,total_tokens,estimated_cost_usd,latency_seconds,ret_overnight,grade,net_overnight,run_id
AXP_FQ3_2025,full_bundle,0.55,BUY,18582,3201,21783,0.008487,18.13,0.0287,correct,0.0277,20260813T234207Z
AXP_FQ3_2025,press_release,0.55,BUY,6554,2070,8624,0.003995,11.93,0.0287,correct,0.0277,20260813T234207Z
AXP_FQ3_2025,prepared_remarks,0.55,BUY,7614,1887,9501,0.00408,10.81,0.0287,correct,0.0277,20260813T234207Z
AXP_FQ3_2025,qa_only,0.15,HOLD,10884,1712,12596,0.004771,11.62,0.0287,no_trade,,20260813T234207Z
AXP_FQ4_2025,full_bundle,0.3,BUY,19451,3040,22491,0.008545,17.52,-0.0097,flat,-0.010700000000000001,20260813T234207Z
AXP_FQ4_2025,press_release,0.3,BUY,6469,1848,8317,0.003728,11.05,-0.0097,flat,-0.010700000000000001,20260813T234207Z
AXP_FQ4_2025,prepared_remarks,0.3,BUY,6399,1383,7782,0.003198,8.16,-0.0097,flat,-0.010700000000000001,20260813T234207Z
AXP_FQ4_2025,qa_only,0.2,HOLD,13053,1937,14990,0.005604,11.69,-0.0097,no_trade,,20260813T234207Z
CVX_FQ1_2026,full_bundle,0.15,HOLD,20768,2539,23307,0.008349,15.41,-0.0104,no_trade,,20260813T234207Z
CVX_FQ1_2026,press_release,-0.1,SELL,10209,2763,12972,0.005489,14.65,-0.0104,flat,0.009399999999999999,20260813T234207Z
CVX_FQ1_2026,prepared_remarks,0.15,HOLD,4975,1736,6711,0.003202,9.28,-0.0104,no_trade,,20260813T234207Z
CVX_FQ1_2026,qa_only,0.25,HOLD,12053,2332,14385,0.005768,13.95,-0.0104,no_trade,,20260813T234207Z
CVX_FQ2_2025,full_bundle,0.35,BUY,20856,2637,23493,0.008481,14.77,0.006,flat,0.005,20260813T234207Z
CVX_FQ2_2025,press_release,0.15,HOLD,11372,2318,13690,0.005083,16.24,0.006,no_trade,,20260813T234207Z
CVX_FQ2_2025,prepared_remarks,0.55,BUY,5255,1961,7216,0.003525,10.9,0.006,flat,0.005,20260813T234207Z
CVX_FQ2_2025,qa_only,0.3,BUY,10698,1938,12636,0.004969,11.87,0.006,flat,0.005,20260813T234207Z
CVX_FQ3_2025,full_bundle,0.15,HOLD,21128,2506,23634,0.00841,15.33,0.0144,no_trade,,20260813T234207Z
CVX_FQ3_2025,press_release,0.15,HOLD,11506,1829,13335,0.004555,11.57,0.0144,no_trade,,20260813T234207Z
CVX_FQ3_2025,prepared_remarks,0.15,HOLD,4709,1889,6598,0.003298,10.88,0.0144,no_trade,,20260813T234207Z
CVX_FQ3_2025,qa_only,0.15,HOLD,11382,1843,13225,0.005049,12.6,0.0144,no_trade,,20260813T234207Z
CVX_FQ4_2025,full_bundle,0.3,BUY,24113,2683,26796,0.009411,16.62,0.0084,flat,0.0073999999999999995,20260813T234207Z
CVX_FQ4_2025,press_release,0.15,HOLD,12468,2126,14594,0.004937,12.26,0.0084,no_trade,,20260813T234207Z
CVX_FQ4_2025,prepared_remarks,0.3,BUY,5351,2502,7853,0.004146,14.17,0.0084,flat,0.0073999999999999995,20260813T234207Z
CVX_FQ4_2025,qa_only,0.15,HOLD,12763,2841,15604,0.00652,17.82,0.0084,no_trade,,20260813T234207Z
COST_FQ1_2026,full_bundle,0.15,HOLD,21369,2103,23472,0.008032,12.47,-0.0013,no_trade,,20260813T234207Z
COST_FQ1_2026,press_release,0.15,HOLD,5648,1935,7583,0.003602,11.97,-0.0013,no_trade,,20260813T234207Z
COST_FQ1_2026,prepared_remarks,0.15,HOLD,8945,2181,11126,0.004763,13.24,-0.0013,no_trade,,20260813T234207Z
COST_FQ1_2026,qa_only,0.15,HOLD,13246,1738,14984,0.005437,11.94,-0.0013,no_trade,,20260813T234207Z
COST_FQ2_2026,full_bundle,0.15,HOLD,21340,2291,23631,0.008231,14.1,-0.0158,no_trade,,20260813T234207Z
COST_FQ2_2026,press_release,0.15,HOLD,5777,1554,7331,0.003218,10.33,-0.0158,no_trade,,20260813T234207Z
COST_FQ2_2026,prepared_remarks,0.15,HOLD,9316,2879,12195,0.005631,15.81,-0.0158,no_trade,,20260813T234207Z
COST_FQ2_2026,qa_only,0.15,HOLD,12717,2799,15516,0.006461,18.68,-0.0158,no_trade,,20260813T234207Z
COST_FQ3_2026,full_bundle,0.15,HOLD,18798,2014,20812,0.00724,13.53,-0.0087,no_trade,,20260813T234207Z
COST_FQ3_2026,press_release,0.15,HOLD,5631,2070,7701,0.003746,12.75,-0.0087,no_trade,,20260813T234207Z
COST_FQ3_2026,prepared_remarks,0.15,HOLD,7239,2796,10035,0.004979,16.09,-0.0087,no_trade,,20260813T234207Z
COST_FQ3_2026,qa_only,0.1,HOLD,12398,2471,14869,0.006014,16.08,-0.0087,no_trade,,20260813T234207Z
COST_FQ4_2025,full_bundle,0.15,HOLD,20255,2480,22735,0.008146,14.84,-0.0188,no_trade,,20260813T234207Z
COST_FQ4_2025,press_release,0.15,HOLD,5527,1996,7523,0.003637,12.54,-0.0188,no_trade,,20260813T234207Z
COST_FQ4_2025,prepared_remarks,0.15,HOLD,8324,2006,10330,0.004403,12.26,-0.0188,no_trade,,20260813T234207Z
COST_FQ4_2025,qa_only,0.15,HOLD,12874,1581,14455,0.005164,13.89,-0.0188,no_trade,,20260813T234207Z
DDOG_FQ1_2026,full_bundle,0.55,BUY,20637,1976,22613,0.007694,12.87,0.3081,correct,0.3071,20260813T234207Z
DDOG_FQ1_2026,press_release,0.15,HOLD,10149,1448,11597,0.004051,9.9,0.3081,no_trade,,20260813T234207Z
DDOG_FQ1_2026,prepared_remarks,0.55,BUY,7561,2545,10106,0.00479,14.77,0.3081,correct,0.3071,20260813T234207Z
DDOG_FQ1_2026,qa_only,0.55,BUY,9405,1682,11087,0.004338,11.71,0.3081,correct,0.3071,20260813T234207Z
DDOG_FQ3_2025,full_bundle,0.55,BUY,24611,1881,26492,0.008663,12.27,0.1543,correct,0.1533,20260813T234207Z
DDOG_FQ3_2025,press_release,0.15,HOLD,10998,1426,12424,0.004077,8.96,0.1543,no_trade,,20260813T234207Z
DDOG_FQ3_2025,prepared_remarks,0.3,BUY,8106,2496,10602,0.004883,14.28,0.1543,correct,0.1533,20260813T234207Z
DDOG_FQ3_2025,qa_only,0.55,BUY,11984,1705,13689,0.00506,12.26,0.1543,correct,0.1533,20260813T234207Z
DDOG_FQ4_2025,full_bundle,0.3,BUY,24709,2590,27299,0.009469,15.92,0.0892,correct,0.0882,20260813T234207Z
DDOG_FQ4_2025,press_release,0.15,HOLD,11273,2764,14037,0.005572,15.32,0.0892,no_trade,,20260813T234207Z
DDOG_FQ4_2025,prepared_remarks,0.3,BUY,8547,2077,10624,0.004541,12.89,0.0892,correct,0.0882,20260813T234207Z
DDOG_FQ4_2025,qa_only,0.3,BUY,11367,1423,12790,0.004583,10.53,0.0892,correct,0.0882,20260813T234207Z
DUK_FQ1_2023,full_bundle,0.0,HOLD,25559,1665,27224,0.008681,11.48,0.0079,no_trade,,20260813T234207Z
DUK_FQ1_2023,press_release,0.0,HOLD,18290,1468,19758,0.004633,8.72,0.0079,no_trade,,20260813T234207Z
DUK_FQ1_2023,prepared_remarks,0.1,HOLD,6319,1944,8263,0.003793,11.88,0.0079,no_trade,,20260813T234207Z
DUK_FQ1_2023,qa_only,0.15,HOLD,7420,1793,9213,0.003925,11.32,0.0079,no_trade,,20260813T234207Z
DUK_FQ1_2024,full_bundle,0.15,HOLD,33207,1748,34955,0.010837,12.27,0.0017,no_trade,,20260813T234207Z
DUK_FQ1_2024,press_release,0.15,HOLD,17638,2273,19911,0.005471,13.28,0.0017,no_trade,,20260813T234207Z
DUK_FQ1_2024,prepared_remarks,0.15,HOLD,6117,1570,7687,0.003327,10.12,0.0017,no_trade,,20260813T234207Z
DUK_FQ1_2024,qa_only,0.2,HOLD,15922,1663,17585,0.006077,10.38,0.0017,no_trade,,20260813T234207Z
DUK_FQ1_2025,full_bundle,0.15,HOLD,25528,2473,28001,0.009562,164.61,-0.0032,no_trade,,20260813T234207Z
DUK_FQ1_2025,press_release,0.15,HOLD,17463,1762,19225,0.004887,11.32,-0.0032,no_trade,,20260813T234207Z
DUK_FQ1_2025,prepared_remarks,0.15,HOLD,5751,1598,7349,0.003259,9.68,-0.0032,no_trade,,20260813T234207Z
DUK_FQ1_2025,qa_only,0.15,HOLD,8784,1830,10614,0.004333,12.27,-0.0032,no_trade,,20260813T234207Z
DUK_FQ1_2026,full_bundle,0.2,HOLD,27654,1970,29624,0.009582,12.67,-0.0043,no_trade,,20260813T234207Z
DUK_FQ1_2026,press_release,0.15,HOLD,18514,1753,20267,0.004956,11.68,-0.0043,no_trade,,20260813T234207Z
DUK_FQ1_2026,prepared_remarks,0.15,HOLD,7819,2143,9962,0.004417,12.96,-0.0043,no_trade,,20260813T234207Z
DUK_FQ1_2026,qa_only,0.3,BUY,7791,1745,9536,0.003972,13.63,-0.0043,flat,-0.0053,20260813T234207Z
DUK_FQ2_2023,full_bundle,-0.05,HOLD,44207,1767,45974,0.013828,13.51,-0.0028,no_trade,,20260813T234207Z
DUK_FQ2_2023,press_release,-0.1,SELL,23759,1387,25146,0.00492,10.36,-0.0028,flat,0.0018,20260813T234207Z
DUK_FQ2_2023,prepared_remarks,-0.1,SELL,6606,1908,8514,0.003831,13.01,-0.0028,flat,0.0018,20260813T234207Z
DUK_FQ2_2023,qa_only,0.1,HOLD,20312,1854,22166,0.007472,12.47,-0.0028,no_trade,,20260813T234207Z
DUK_FQ2_2024,full_bundle,0.15,HOLD,32098,2043,34141,0.010863,15.62,0.0027,no_trade,,20260813T234207Z
DUK_FQ2_2024,press_release,0.15,HOLD,23272,1468,24740,0.00498,10.73,0.0027,no_trade,,20260813T234207Z
DUK_FQ2_2024,prepared_remarks,0.15,HOLD,6109,1969,8078,0.003764,12.88,0.0027,no_trade,,20260813T234207Z
DUK_FQ2_2024,qa_only,0.3,BUY,9187,1349,10536,0.003913,9.78,0.0027,flat,0.0017000000000000001,20260813T234207Z
DUK_FQ2_2025,full_bundle,0.3,BUY,32558,2213,34771,0.011174,16.07,0.0053,flat,0.0043,20260813T234207Z
DUK_FQ2_2025,press_release,0.15,HOLD,23224,1821,25045,0.005355,12.98,0.0053,no_trade,,20260813T234207Z
DUK_FQ2_2025,prepared_remarks,0.3,BUY,6250,1651,7901,0.003452,11.31,0.0053,flat,0.0043,20260813T234207Z
DUK_FQ2_2025,qa_only,0.3,BUY,9554,1712,11266,0.004412,12.04,0.0053,flat,0.0043,20260813T234207Z
DUK_FQ3_2024,full_bundle,-0.1,SELL,37427,2510,39937,0.012815,16.51,0.0062,flat,-0.0072,20260813T234207Z
DUK_FQ3_2024,press_release,-0.1,SELL,25174,1712,26886,0.005378,12.15,0.0062,flat,-0.0072,20260813T234207Z
DUK_FQ3_2024,prepared_remarks,-0.1,SELL,7087,1625,8712,0.00365,10.9,0.0062,flat,-0.0072,20260813T234207Z
DUK_FQ3_2024,qa_only,0.15,HOLD,11636,2078,13714,0.005376,14.68,0.0062,no_trade,,20260813T234207Z
DUK_FQ3_2025,full_bundle,0.3,BUY,33548,1815,35363,0.011003,13.68,-0.005,flat,-0.006,20260813T234207Z
DUK_FQ3_2025,press_release,0.2,HOLD,24261,2604,26865,0.006292,16.55,-0.005,no_trade,,20260813T234207Z
DUK_FQ3_2025,prepared_remarks,0.3,BUY,6472,1754,8226,0.003626,11.06,-0.005,flat,-0.006,20260813T234207Z
DUK_FQ3_2025,qa_only,0.55,BUY,9285,1584,10869,0.004198,11.21,-0.005,flat,-0.006,20260813T234207Z
DUK_FQ4_2023,full_bundle,0.3,BUY,36287,1994,38281,0.01194,13.69,-0.0041,flat,-0.0051,20260813T234207Z
DUK_FQ4_2023,press_release,0.15,HOLD,25349,1558,26907,0.00523,10.12,-0.0041,no_trade,,20260813T234207Z
DUK_FQ4_2023,prepared_remarks,0.3,BUY,6792,1756,8548,0.003714,11.24,-0.0041,flat,-0.0051,20260813T234207Z
DUK_FQ4_2023,qa_only,0.3,BUY,10616,1432,12048,0.00439,9.59,-0.0041,flat,-0.0051,20260813T234207Z
DUK_FQ4_2024,full_bundle,0.3,BUY,37377,2188,39565,0.012447,15.64,0.0032,flat,0.0022,20260813T234207Z
DUK_FQ4_2024,press_release,0.3,BUY,25938,1624,27562,0.005334,10.92,0.0032,flat,0.0022,20260813T234207Z
DUK_FQ4_2024,prepared_remarks,0.3,BUY,5905,1930,7835,0.003666,12.06,0.0032,flat,0.0022,20260813T234207Z
DUK_FQ4_2024,qa_only,0.3,BUY,12004,1845,13849,0.005219,11.69,0.0032,flat,0.0022,20260813T234207Z
XOM_FQ1_2025,full_bundle,0.15,HOLD,27081,1748,28829,0.009183,12.73,0.0183,no_trade,,20260813T234207Z
XOM_FQ1_2025,press_release,0.15,HOLD,13386,1909,15295,0.004767,17.05,0.0183,no_trade,,20260813T234207Z
XOM_FQ1_2025,prepared_remarks,0.15,HOLD,5965,2491,8456,0.004299,14.74,0.0183,no_trade,,20260813T234207Z
XOM_FQ1_2025,qa_only,0.15,HOLD,14200,2505,16705,0.006538,16.66,0.0183,no_trade,,20260813T234207Z
XOM_FQ1_2026,full_bundle,0.2,HOLD,28489,2401,30890,0.010282,15.91,-0.0112,no_trade,,20260813T234207Z
XOM_FQ1_2026,press_release,0.2,HOLD,14753,2324,17077,0.005337,17.86,-0.0112,no_trade,,20260813T234207Z
XOM_FQ1_2026,prepared_remarks,0.15,HOLD,5310,1460,6770,0.002989,9.48,-0.0112,no_trade,,20260813T234207Z
XOM_FQ1_2026,qa_only,0.3,BUY,14896,1925,16821,0.006088,14.41,-0.0112,flat,-0.012199999999999999,20260813T234207Z
XOM_FQ2_2024,full_bundle,0.3,BUY,28030,1980,30010,0.009695,13.16,-0.0084,flat,-0.009399999999999999,20260813T234207Z
XOM_FQ2_2024,press_release,0.2,HOLD,15673,2368,18041,0.005429,15.36,-0.0084,no_trade,,20260813T234207Z
XOM_FQ2_2024,prepared_remarks,0.15,HOLD,5802,1402,7204,0.003058,9.49,-0.0084,no_trade,,20260813T234207Z
XOM_FQ2_2024,qa_only,0.3,BUY,13025,1987,15012,0.005651,13.59,-0.0084,flat,-0.009399999999999999,20260813T234207Z
XOM_FQ2_2025,full_bundle,0.15,HOLD,29043,2241,31284,0.010256,18.62,0.0032,no_trade,,20260813T234207Z
XOM_FQ2_2025,press_release,0.15,HOLD,14452,1770,16222,0.004697,14.38,0.0032,no_trade,,20260813T234207Z
XOM_FQ2_2025,prepared_remarks,0.3,BUY,5592,1799,7391,0.003438,11.74,0.0032,flat,0.0022,20260813T234207Z
XOM_FQ2_2025,qa_only,0.15,HOLD,15469,1891,17360,0.006206,12.39,0.0032,no_trade,,20260813T234207Z
XOM_FQ3_2024,full_bundle,0.15,HOLD,30777,2114,32891,0.010584,14.09,0.0269,no_trade,,20260813T234207Z
XOM_FQ3_2024,press_release,0.15,HOLD,15887,2557,18444,0.005669,15.97,0.0269,no_trade,,20260813T234207Z
XOM_FQ3_2024,prepared_remarks,0.3,BUY,6215,1255,7470,0.003007,9.05,0.0269,correct,0.0259,20260813T234207Z
XOM_FQ3_2024,qa_only,0.3,BUY,15144,1596,16740,0.005793,12.08,0.0269,correct,0.0259,20260813T234207Z
XOM_FQ3_2025,full_bundle,0.15,HOLD,28548,2019,30567,0.009878,14.06,-0.0062,no_trade,,20260813T234207Z
XOM_FQ3_2025,press_release,0.15,HOLD,14705,1643,16348,0.004574,11.35,-0.0062,no_trade,,20260813T234207Z
XOM_FQ3_2025,prepared_remarks,0.3,BUY,5527,1685,7212,0.003295,11.38,-0.0062,flat,-0.0072,20260813T234207Z
XOM_FQ3_2025,qa_only,0.15,HOLD,14786,1453,16239,0.005539,14.8,-0.0062,no_trade,,20260813T234207Z
XOM_FQ4_2024,full_bundle,0.2,HOLD,30362,2465,32827,0.010858,16.79,0.009,no_trade,,20260813T234207Z
XOM_FQ4_2024,press_release,0.15,HOLD,15783,2154,17937,0.005197,13.28,0.009,no_trade,,20260813T234207Z
XOM_FQ4_2024,prepared_remarks,0.3,BUY,6151,1607,7758,0.003377,10.59,0.009,flat,0.008,20260813T234207Z
XOM_FQ4_2024,qa_only,0.3,BUY,14897,1707,16604,0.005849,11.58,0.009,flat,0.008,20260813T234207Z
XOM_FQ4_2025,full_bundle,0.15,HOLD,30904,1902,32806,0.010385,13.28,-0.0126,no_trade,,20260813T234207Z
XOM_FQ4_2025,press_release,0.15,HOLD,16391,2485,18876,0.004471,18.48,-0.0126,no_trade,,20260813T234207Z
XOM_FQ4_2025,prepared_remarks,0.3,BUY,5433,1307,6740,0.002853,9.29,-0.0126,flat,-0.013600000000000001,20260813T234207Z
XOM_FQ4_2025,qa_only,0.25,HOLD,15550,1968,17518,0.006312,14.43,-0.0126,no_trade,,20260813T234207Z
FCX_FQ1_2026,full_bundle,-0.5,SELL,39638,2183,41821,0.013052,14.97,-0.115,correct,0.114,20260813T234207Z
FCX_FQ1_2026,press_release,-0.3,SELL,24417,1871,26288,0.005502,11.95,-0.115,correct,0.114,20260813T234207Z
FCX_FQ1_2026,prepared_remarks,-0.5,SELL,5115,1607,6722,0.003098,9.06,-0.115,correct,0.114,20260813T234207Z
FCX_FQ1_2026,qa_only,-0.5,SELL,16576,2549,19125,0.007228,15.97,-0.115,correct,0.114,20260813T234207Z
FCX_FQ2_2025,full_bundle,0.3,BUY,48394,2270,50664,0.015512,15.69,-0.0247,wrong,-0.0257,20260813T234207Z
FCX_FQ2_2025,press_release,0.3,BUY,31916,2023,33939,0.006183,13.45,-0.0247,wrong,-0.0257,20260813T234207Z
FCX_FQ2_2025,prepared_remarks,-0.1,SELL,9526,2028,11554,0.004752,13.08,-0.0247,correct,0.0237,20260813T234207Z
FCX_FQ2_2025,qa_only,0.15,HOLD,13422,2283,15705,0.006084,17.4,-0.0247,no_trade,,20260813T234207Z
FCX_FQ4_2025,full_bundle,0.3,BUY,48345,2428,50773,0.015673,16.64,0.0033,flat,0.0023,20260813T234207Z
FCX_FQ4_2025,press_release,-0.3,SELL,34285,1962,36247,0.006295,15.02,0.0033,flat,-0.0043,20260813T234207Z
FCX_FQ4_2025,prepared_remarks,0.15,HOLD,5394,2661,8055,0.004332,14.72,0.0033,no_trade,,20260813T234207Z
FCX_FQ4_2025,qa_only,0.3,BUY,15136,2792,17928,0.007107,18.81,0.0033,flat,0.0023,20260813T234207Z
RMS_FQ3_2025,full_bundle,0.15,HOLD,12591,2497,15088,0.006095,15.42,0.0026,no_trade,,20260813T234207Z
RMS_FQ3_2025,press_release,0.15,HOLD,6440,2116,8556,0.004015,14.03,0.0026,no_trade,,20260813T234207Z
RMS_FQ3_2025,prepared_remarks,0.15,HOLD,5666,1594,7260,0.003232,10.64,0.0026,no_trade,,20260813T234207Z
RMS_FQ3_2025,qa_only,0.15,HOLD,6971,2966,9937,0.005094,20.32,0.0026,no_trade,,20260813T234207Z
RMS_FQ4_2025,full_bundle,0.15,HOLD,23799,2303,26102,0.008908,18.79,0.0,no_trade,,20260813T234207Z
RMS_FQ4_2025,press_release,0.15,HOLD,10136,1924,12060,0.004572,12.97,0.0,no_trade,,20260813T234207Z
RMS_FQ4_2025,prepared_remarks,0.15,HOLD,14914,2129,17043,0.006317,14.72,0.0,no_trade,,20260813T234207Z
RMS_FQ4_2025,qa_only,0.15,HOLD,5235,1309,6544,0.002802,10.07,0.0,no_trade,,20260813T234207Z
INTC_FQ2_2025,full_bundle,-0.3,SELL,25794,3294,29088,0.010537,21.56,-0.0862,correct,0.0852,20260813T234207Z
INTC_FQ2_2025,press_release,-0.3,SELL,11585,2636,14221,0.005439,16.72,-0.0862,correct,0.0852,20260813T234207Z
INTC_FQ2_2025,prepared_remarks,-0.3,SELL,9635,2790,12425,0.005619,17.68,-0.0862,correct,0.0852,20260813T234207Z
INTC_FQ2_2025,qa_only,-0.05,HOLD,11044,1821,12865,0.004934,13.58,-0.0862,no_trade,,20260813T234207Z
INTC_FQ3_2025,full_bundle,0.3,BUY,26152,2430,28582,0.009683,16.76,0.0487,correct,0.0477,20260813T234207Z
INTC_FQ3_2025,press_release,0.15,HOLD,12010,2007,14017,0.004785,13.13,0.0487,no_trade,,20260813T234207Z
INTC_FQ3_2025,prepared_remarks,0.15,HOLD,9560,2356,11916,0.005122,14.88,0.0487,no_trade,,20260813T234207Z
INTC_FQ3_2025,qa_only,0.15,HOLD,11052,2104,13156,0.005247,15.09,0.0487,no_trade,,20260813T234207Z
MA_FQ1_2026,full_bundle,-0.3,SELL,25092,2370,27462,0.009331,16.38,-0.0395,correct,0.0385,20260813T234207Z
MA_FQ1_2026,press_release,0.15,HOLD,9826,1670,11496,0.00426,10.9,-0.0395,no_trade,,20260813T234207Z
MA_FQ1_2026,prepared_remarks,-0.1,SELL,10424,2717,13141,0.005752,17.61,-0.0395,correct,0.0385,20260813T234207Z
MA_FQ1_2026,qa_only,0.15,HOLD,11304,1807,13111,0.004989,12.61,-0.0395,no_trade,,20260813T234207Z
MA_FQ2_2025,full_bundle,0.3,BUY,30596,2185,32781,0.010613,15.12,0.0169,flat,0.015899999999999997,20260813T234207Z
MA_FQ2_2025,press_release,0.15,HOLD,12897,2326,15223,0.005196,15.68,0.0169,no_trade,,20260813T234207Z
MA_FQ2_2025,prepared_remarks,0.15,HOLD,5614,1205,6819,0.00279,8.35,0.0169,no_trade,,20260813T234207Z
MA_FQ2_2025,qa_only,0.3,BUY,18547,2554,21101,0.007766,18.31,0.0169,flat,0.015899999999999997,20260813T234207Z
MA_FQ3_2025,full_bundle,0.15,HOLD,29163,2283,31446,0.010334,15.74,-0.0054,no_trade,,20260813T234207Z
MA_FQ3_2025,press_release,0.15,HOLD,13376,1609,14985,0.004434,11.24,-0.0054,no_trade,,20260813T234207Z
MA_FQ3_2025,prepared_remarks,0.15,HOLD,5627,1951,7578,0.003614,11.97,-0.0054,no_trade,,20260813T234207Z
MA_FQ3_2025,qa_only,0.15,HOLD,16622,2067,18689,0.00671,14.04,-0.0054,no_trade,,20260813T234207Z
MA_FQ4_2025,full_bundle,0.3,BUY,29040,2452,31492,0.010487,19.43,0.02,flat,0.019,20260813T234207Z
MA_FQ4_2025,press_release,0.15,HOLD,13414,2894,16308,0.005858,18.68,0.02,no_trade,,20260813T234207Z
MA_FQ4_2025,prepared_remarks,0.15,HOLD,5290,2268,7558,0.003872,14.41,0.02,no_trade,,20260813T234207Z
MA_FQ4_2025,qa_only,0.15,HOLD,16798,2044,18842,0.006733,17.07,0.02,no_trade,,20260813T234207Z
SHOP_FQ1_2026,full_bundle,0.35,BUY,22198,1549,23747,0.007646,11.28,-0.0902,wrong,-0.0912,20260813T234207Z
SHOP_FQ1_2026,press_release,0.2,HOLD,6589,1586,8175,0.003472,10.82,-0.0902,no_trade,,20260813T234207Z
SHOP_FQ1_2026,prepared_remarks,0.3,BUY,11400,3132,14532,0.006472,19.2,-0.0902,wrong,-0.0912,20260813T234207Z
SHOP_FQ1_2026,qa_only,0.3,BUY,10678,1743,12421,0.004749,12.95,-0.0902,wrong,-0.0912,20260813T234207Z
SHOP_FQ3_2025,full_bundle,0.25,HOLD,22239,2070,24309,0.00823,14.41,-0.0571,no_trade,,20260813T234207Z
SHOP_FQ3_2025,press_release,0.15,HOLD,6540,1643,8183,0.003522,10.72,-0.0571,no_trade,,20260813T234207Z
SHOP_FQ3_2025,prepared_remarks,0.3,BUY,12327,2128,14455,0.005618,14.43,-0.0571,wrong,-0.0581,20260813T234207Z
SHOP_FQ3_2025,qa_only,0.3,BUY,9841,1716,11557,0.004493,12.56,-0.0571,wrong,-0.0581,20260813T234207Z
SHOP_FQ4_2025,full_bundle,0.55,BUY,20131,2086,22217,0.007679,14.02,0.0916,correct,0.0906,20260813T234207Z
SHOP_FQ4_2025,press_release,0.3,BUY,5453,1573,7026,0.003151,13.65,0.0916,correct,0.0906,20260813T234207Z
