# Section ablation results
# Run ID: 20260812T131110Z
# Run date: 2026-08-12T16:21:46.494422+00:00
# Model alias: deepseek-chat
# Resolved model version: deepseek-v4-flash
# Deployed runs used: deepseek-v4-flash (verified from run_meta)
# Grading: pre-registered ±2% raw overnight band
# Overnight band: 0.02, 5d band: 0.033786
# hold_upper: 0.25, hold_lower: -0.05
#
document_id,arm,sentiment_score,signal,input_tokens,output_tokens,total_tokens,estimated_cost_usd,latency_seconds,ret_overnight,ret_5d,correct_overnight,correct_5d,net_overnight,run_id
SCHW_FQ1_2025,prepared_remarks,0.25,HOLD,8662,1533,10195,0.003948,10.64,0.026024,0.048613,no_trade,no_trade,,20260812T131110Z
SCHW_FQ1_2025,qa_only,0.25,HOLD,11541,1657,13198,0.004862,11.88,0.026024,0.048613,no_trade,no_trade,,20260812T131110Z
SCHW_FQ1_2026,full_bundle,0.3,BUY,27125,1544,28669,0.008971,12.4,-0.044979,-0.085369,wrong,wrong,-0.045979,20260812T131110Z
SCHW_FQ1_2026,press_release,0.3,BUY,13398,2171,15569,0.005954,13.89,-0.044979,-0.085369,wrong,wrong,-0.045979,20260812T131110Z
SCHW_FQ1_2026,prepared_remarks,0.3,BUY,7600,1988,9588,0.004162,12.24,-0.044979,-0.085369,wrong,wrong,-0.045979,20260812T131110Z
SCHW_FQ1_2026,qa_only,0.3,BUY,12625,1539,14164,0.005025,11.7,-0.044979,-0.085369,wrong,wrong,-0.045979,20260812T131110Z
SCHW_FQ2_2025,full_bundle,0.3,BUY,28253,2021,30274,0.0098,13.18,0.027927,0.03652,correct,correct,0.026927,20260812T131110Z
SCHW_FQ2_2025,press_release,0.2,HOLD,14590,1640,16230,0.005692,11.01,0.027927,0.03652,no_trade,no_trade,,20260812T131110Z
SCHW_FQ2_2025,prepared_remarks,0.55,BUY,8573,1621,10194,0.004021,10.42,0.027927,0.03652,correct,correct,0.026927,20260812T131110Z
SCHW_FQ2_2025,qa_only,0.3,BUY,11588,1568,13156,0.004777,11.62,0.027927,0.03652,correct,correct,0.026927,20260812T131110Z
SCHW_FQ3_2025,full_bundle,0.3,BUY,28707,1666,30373,0.009532,14.26,0.004664,-0.000212,flat,flat,0.0036639999999999997,20260812T131110Z
SCHW_FQ3_2025,press_release,0.3,BUY,14587,1586,16173,0.005632,12.87,0.004664,-0.000212,flat,flat,0.0036639999999999997,20260812T131110Z
SCHW_FQ3_2025,prepared_remarks,0.3,BUY,8251,1655,9906,0.003971,12.31,0.004664,-0.000212,flat,flat,0.0036639999999999997,20260812T131110Z
SCHW_FQ3_2025,qa_only,0.55,BUY,12367,1799,14166,0.005241,12.33,0.004664,-0.000212,flat,flat,0.0036639999999999997,20260812T131110Z
SCHW_FQ4_2025,full_bundle,0.55,BUY,27901,3168,31069,0.010967,20.26,0.003367,0.027032,flat,flat,0.002367,20260812T131110Z
SCHW_FQ4_2025,press_release,0.3,BUY,14810,2744,17554,0.006966,20.37,0.003367,0.027032,flat,flat,0.002367,20260812T131110Z
SCHW_FQ4_2025,prepared_remarks,0.55,BUY,9747,2233,11980,0.005011,14.1,0.003367,0.027032,flat,flat,0.002367,20260812T131110Z
SCHW_FQ4_2025,qa_only,0.2,HOLD,9842,1660,11502,0.004407,11.48,0.003367,0.027032,no_trade,no_trade,,20260812T131110Z
KO_FQ1_2026,full_bundle,0.3,BUY,16587,2428,19015,0.007098,15.2,0.000255,0.001659,flat,flat,-0.000745,20260812T131110Z
KO_FQ1_2026,press_release,0.15,HOLD,4386,1307,5693,0.002571,11.28,0.000255,0.001659,no_trade,no_trade,,20260812T131110Z
KO_FQ1_2026,prepared_remarks,0.3,BUY,7207,2446,9653,0.00456,20.51,0.000255,0.001659,flat,flat,-0.000745,20260812T131110Z
KO_FQ1_2026,qa_only,0.15,HOLD,11486,1842,13328,0.005051,14.58,0.000255,0.001659,no_trade,no_trade,,20260812T131110Z
KO_FQ2_2025,full_bundle,0.15,HOLD,16811,2301,19112,0.007019,15.23,0.0,-0.00402,no_trade,no_trade,,20260812T131110Z
KO_FQ2_2025,press_release,0.15,HOLD,4443,1872,6315,0.003208,11.61,0.0,-0.00402,no_trade,no_trade,,20260812T131110Z
KO_FQ2_2025,prepared_remarks,0.15,HOLD,7494,2473,9967,0.004667,15.33,0.0,-0.00402,no_trade,no_trade,,20260812T131110Z
KO_FQ2_2025,qa_only,0.15,HOLD,11366,1947,13313,0.005134,13.72,0.0,-0.00402,no_trade,no_trade,,20260812T131110Z
KO_FQ4_2025,full_bundle,0.15,HOLD,17416,2649,20065,0.007565,15.69,0.000911,0.034891,no_trade,no_trade,,20260812T131110Z
KO_FQ4_2025,press_release,0.15,HOLD,4434,1840,6274,0.00317,10.94,0.000911,0.034891,no_trade,no_trade,,20260812T131110Z
KO_FQ4_2025,prepared_remarks,0.15,HOLD,7719,1782,9501,0.003968,11.08,0.000911,0.034891,no_trade,no_trade,,20260812T131110Z
KO_FQ4_2025,qa_only,0.15,HOLD,11755,2414,14169,0.005752,16.22,0.000911,0.034891,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2025,full_bundle,0.15,HOLD,19415,3092,22507,0.008592,18.55,0.03147,0.013996,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2025,press_release,0.15,HOLD,4679,1612,6291,0.002985,10.97,0.03147,0.013996,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2025,prepared_remarks,0.15,HOLD,6612,2536,9148,0.004498,14.02,0.03147,0.013996,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2025,qa_only,0.15,HOLD,14616,2197,16813,0.006286,13.13,0.03147,0.013996,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2026,full_bundle,0.2,HOLD,21385,2542,23927,0.008519,15.15,-0.035525,0.019993,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2026,press_release,0.15,HOLD,4552,1943,6495,0.003315,12.18,-0.035525,0.019993,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2026,prepared_remarks,0.15,HOLD,7829,2619,10448,0.004918,16.52,-0.035525,0.019993,no_trade,no_trade,,20260812T131110Z
GS_FQ1_2026,qa_only,0.15,HOLD,15496,2034,17530,0.006345,14.65,-0.035525,0.019993,no_trade,no_trade,,20260812T131110Z
GS_FQ2_2025,full_bundle,0.3,BUY,18840,2058,20898,0.007299,13.57,0.008527,-0.002989,flat,flat,0.007527,20260812T131110Z
GS_FQ2_2025,press_release,0.15,HOLD,4675,1835,6510,0.00323,11.46,0.008527,-0.002989,no_trade,no_trade,,20260812T131110Z
GS_FQ2_2025,prepared_remarks,0.3,BUY,8355,2258,10613,0.004663,14.13,0.008527,-0.002989,flat,flat,0.007527,20260812T131110Z
GS_FQ2_2025,qa_only,0.3,BUY,12302,1558,13860,0.004959,11.51,0.008527,-0.002989,flat,flat,0.007527,20260812T131110Z
GS_FQ2_2026,full_bundle,0.55,BUY,19002,2128,21130,0.00742,14.73,0.037374,0.00872,correct,flat,0.036374,20260812T131110Z
GS_FQ2_2026,press_release,0.3,BUY,4677,1385,6062,0.002735,9.22,0.037374,0.00872,correct,flat,0.036374,20260812T131110Z
GS_FQ2_2026,prepared_remarks,0.55,BUY,7488,2572,10060,0.004774,14.83,0.037374,0.00872,correct,flat,0.036374,20260812T131110Z
GS_FQ2_2026,qa_only,0.3,BUY,13329,2213,15542,0.005956,15.09,0.037374,0.00872,correct,flat,0.036374,20260812T131110Z
GS_FQ3_2025,full_bundle,0.3,BUY,17689,2046,19735,0.006975,16.66,-0.028382,-0.029818,wrong,flat,-0.029382000000000002,20260812T131110Z
GS_FQ3_2025,press_release,0.15,HOLD,4645,1682,6327,0.003053,11.65,-0.028382,-0.029818,no_trade,no_trade,,20260812T131110Z
GS_FQ3_2025,prepared_remarks,0.3,BUY,6758,2277,9035,0.004253,13.48,-0.028382,-0.029818,wrong,flat,-0.029382000000000002,20260812T131110Z
GS_FQ3_2025,qa_only,0.3,BUY,12778,1307,14085,0.004811,9.48,-0.028382,-0.029818,wrong,flat,-0.029382000000000002,20260812T131110Z
GS_FQ4_2025,full_bundle,0.3,BUY,22671,2499,25170,0.008819,15.78,-0.008331,0.023567,flat,flat,-0.009330999999999999,20260812T131110Z
GS_FQ4_2025,press_release,0.15,HOLD,4587,1480,6067,0.002815,9.59,-0.008331,0.023567,no_trade,no_trade,,20260812T131110Z
GS_FQ4_2025,prepared_remarks,0.3,BUY,9832,2901,12733,0.005769,17.1,-0.008331,0.023567,flat,flat,-0.009330999999999999,20260812T131110Z
GS_FQ4_2025,qa_only,0.3,BUY,14744,1711,16455,0.005786,11.73,-0.008331,0.023567,flat,flat,-0.009330999999999999,20260812T131110Z
LOW_FQ1_2025,full_bundle,0.0,HOLD,17721,2123,19844,0.007069,13.13,-0.000874,-0.014029,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2025,press_release,0.0,HOLD,4029,1571,5600,0.002765,10.74,-0.000874,-0.014029,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2025,prepared_remarks,0.0,HOLD,8560,1580,10140,0.003972,9.95,-0.000874,-0.014029,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2025,qa_only,-0.1,SELL,11632,2102,13734,0.005376,13.79,-0.000874,-0.014029,flat,flat,-0.00012600000000000003,20260812T131110Z
LOW_FQ1_2026,full_bundle,0.0,HOLD,17959,2279,20238,0.007305,13.57,-0.014929,-0.01416,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2026,press_release,0.0,HOLD,4084,1692,5776,0.002913,9.59,-0.014929,-0.01416,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2026,prepared_remarks,0.0,HOLD,8452,2696,11148,0.005171,15.95,-0.014929,-0.01416,no_trade,no_trade,,20260812T131110Z
LOW_FQ1_2026,qa_only,0.1,HOLD,11923,1413,13336,0.004697,11.46,-0.014929,-0.01416,no_trade,no_trade,,20260812T131110Z
LOW_FQ2_2025,full_bundle,0.15,HOLD,18225,1739,19964,0.006782,12.24,-0.004122,0.00595,no_trade,no_trade,,20260812T131110Z
LOW_FQ2_2025,press_release,0.15,HOLD,4184,1754,5938,0.003008,10.33,-0.004122,0.00595,no_trade,no_trade,,20260812T131110Z
LOW_FQ2_2025,prepared_remarks,0.15,HOLD,9213,1497,10710,0.004057,9.71,-0.004122,0.00595,no_trade,no_trade,,20260812T131110Z
LOW_FQ2_2025,qa_only,0.15,HOLD,11328,2597,13925,0.005838,16.62,-0.004122,0.00595,no_trade,no_trade,,20260812T131110Z
LOW_FQ3_2025,full_bundle,-0.3,SELL,17570,2465,20035,0.007404,16.05,-0.001445,0.057791,flat,wrong,0.0004450000000000001,20260812T131110Z
LOW_FQ3_2025,press_release,-0.05,HOLD,4141,1808,5949,0.003056,10.5,-0.001445,0.057791,no_trade,no_trade,,20260812T131110Z
LOW_FQ3_2025,prepared_remarks,-0.5,SELL,9057,2067,11124,0.004642,13.03,-0.001445,0.057791,flat,wrong,0.0004450000000000001,20260812T131110Z
LOW_FQ3_2025,qa_only,0.15,HOLD,10872,2314,13186,0.005404,14.9,-0.001445,0.057791,no_trade,no_trade,,20260812T131110Z
LOW_FQ4_2025,full_bundle,-0.1,SELL,17452,2664,20116,0.007591,17.23,0.001217,-0.016729,flat,flat,-0.0022170000000000002,20260812T131110Z
LOW_FQ4_2025,press_release,0.15,HOLD,4158,1641,5799,0.002877,10.17,0.001217,-0.016729,no_trade,no_trade,,20260812T131110Z
LOW_FQ4_2025,prepared_remarks,-0.3,SELL,9234,3781,13015,0.006575,21.63,0.001217,-0.016729,flat,flat,-0.0022170000000000002,20260812T131110Z
LOW_FQ4_2025,qa_only,0.1,HOLD,10560,2259,12819,0.005259,14.24,0.001217,-0.016729,no_trade,no_trade,,20260812T131110Z
LULU_FQ1_2026,full_bundle,-0.75,SELL,16193,2463,18656,0.003856,38.91,-0.115994,-0.024656,correct,flat,0.114994,20260812T131110Z
LULU_FQ1_2026,press_release,-0.5,SELL,7105,1694,8799,0.003731,13.14,-0.115994,-0.024656,correct,flat,0.114994,20260812T131110Z
LULU_FQ1_2026,prepared_remarks,-0.5,SELL,5130,2689,7819,0.004266,15.27,-0.115994,-0.024656,correct,flat,0.114994,20260812T131110Z
LULU_FQ1_2026,qa_only,-0.85,SELL,10468,2585,13053,0.005593,15.62,-0.115994,-0.024656,correct,flat,0.114994,20260812T131110Z
LULU_FQ3_2025,full_bundle,-0.35,SELL,21365,2546,23911,0.008518,16.02,0.093952,0.150259,wrong,wrong,-0.094952,20260812T131110Z
LULU_FQ3_2025,press_release,-0.5,SELL,8078,1536,9614,0.003819,10.0,0.093952,0.150259,wrong,wrong,-0.094952,20260812T131110Z
LULU_FQ3_2025,prepared_remarks,-0.5,SELL,5946,2603,8549,0.004392,14.41,0.093952,0.150259,wrong,wrong,-0.094952,20260812T131110Z
LULU_FQ3_2025,qa_only,-0.5,SELL,13851,2297,16148,0.00619,14.23,0.093952,0.150259,wrong,wrong,-0.094952,20260812T131110Z
LULU_FQ4_2025,full_bundle,-0.3,SELL,22093,2064,24157,0.008184,13.06,-0.007723,0.010548,flat,flat,0.006723,20260812T131110Z
LULU_FQ4_2025,press_release,-0.3,SELL,8231,2260,10491,0.004657,14.42,-0.007723,0.010548,flat,flat,0.006723,20260812T131110Z
LULU_FQ4_2025,prepared_remarks,-0.5,SELL,5508,2176,7684,0.003804,13.24,-0.007723,0.010548,flat,flat,0.006723,20260812T131110Z
LULU_FQ4_2025,qa_only,-0.3,SELL,14864,2964,17828,0.007197,18.46,-0.007723,0.010548,flat,flat,0.006723,20260812T131110Z
UBER_FQ1_2025,full_bundle,0.25,HOLD,19530,1754,21284,0.007151,12.53,-0.031458,0.068624,no_trade,no_trade,,20260812T131110Z
UBER_FQ1_2025,press_release,0.3,BUY,8801,2159,10960,0.00301,26.63,-0.031458,0.068624,wrong,correct,-0.032458,20260812T131110Z
UBER_FQ1_2025,prepared_remarks,0.15,HOLD,4487,1703,6190,0.003008,13.38,-0.031458,0.068624,no_trade,no_trade,,20260812T131110Z
UBER_FQ1_2025,qa_only,0.15,HOLD,12738,2145,14883,0.005722,14.72,-0.031458,0.068624,no_trade,no_trade,,20260812T131110Z
UBER_FQ1_2026,full_bundle,0.3,BUY,20538,2785,23323,0.008558,17.17,0.061823,0.046744,correct,correct,0.060823,20260812T131110Z
UBER_FQ1_2026,press_release,0.3,BUY,10595,2182,12777,0.00521,12.89,0.061823,0.046744,correct,correct,0.060823,20260812T131110Z
UBER_FQ1_2026,prepared_remarks,0.25,HOLD,4478,1431,5909,0.002706,8.99,0.061823,0.046744,no_trade,no_trade,,20260812T131110Z
UBER_FQ1_2026,qa_only,0.3,BUY,11960,1879,13839,0.005219,15.63,0.061823,0.046744,correct,correct,0.060823,20260812T131110Z
UBER_FQ2_2025,full_bundle,0.3,BUY,19142,1678,20820,0.006963,10.68,0.017452,0.026177,flat,flat,0.016451999999999998,20260812T131110Z
UBER_FQ2_2025,press_release,0.3,BUY,9461,1675,11136,0.004346,10.47,0.017452,0.026177,flat,flat,0.016451999999999998,20260812T131110Z
UBER_FQ2_2025,prepared_remarks,0.3,BUY,4402,1190,5592,0.002421,7.84,0.017452,0.026177,flat,flat,0.016451999999999998,20260812T131110Z
UBER_FQ2_2025,qa_only,0.3,BUY,11774,1297,13071,0.004529,10.07,0.017452,0.026177,flat,flat,0.016451999999999998,20260812T131110Z
UBER_FQ4_2025,full_bundle,0.3,BUY,23097,2638,25735,0.009087,15.58,-0.029578,-0.056846,wrong,wrong,-0.030578,20260812T131110Z
UBER_FQ4_2025,press_release,0.3,BUY,12160,2049,14209,0.005486,13.05,-0.029578,-0.056846,wrong,wrong,-0.030578,20260812T131110Z
UBER_FQ4_2025,prepared_remarks,0.15,HOLD,5081,1036,6117,0.002435,9.86,-0.029578,-0.056846,no_trade,no_trade,,20260812T131110Z
UBER_FQ4_2025,qa_only,0.3,BUY,12351,1717,14068,0.005147,12.06,-0.029578,-0.056846,wrong,wrong,-0.030578,20260812T131110Z
BA_FQ1_2025,full_bundle,0.15,HOLD,23830,1708,25538,0.008262,12.22,-0.006788,0.063062,no_trade,no_trade,,20260812T131110Z
BA_FQ1_2025,press_release,0.15,HOLD,8881,1608,10489,0.004115,10.56,-0.006788,0.063062,no_trade,no_trade,,20260812T131110Z
BA_FQ1_2025,prepared_remarks,0.15,HOLD,8232,1954,10186,0.004295,12.27,-0.006788,0.063062,no_trade,no_trade,,20260812T131110Z
BA_FQ1_2025,qa_only,0.15,HOLD,11224,2111,13335,0.005276,13.59,-0.006788,0.063062,no_trade,no_trade,,20260812T131110Z
BA_FQ4_2025,full_bundle,0.15,HOLD,122024,2581,124605,0.035734,21.12,-0.02387,-0.06203,no_trade,no_trade,,20260812T131110Z
BA_FQ4_2025,press_release,0.2,HOLD,10562,2386,12948,0.005425,14.55,-0.02387,-0.06203,no_trade,no_trade,,20260812T131110Z
BA_FQ4_2025,prepared_remarks,0.15,HOLD,8675,3817,12492,0.006464,21.68,-0.02387,-0.06203,no_trade,no_trade,,20260812T131110Z
BA_FQ4_2025,qa_only,0.15,HOLD,11467,2662,14129,0.005947,16.88,-0.02387,-0.06203,no_trade,no_trade,,20260812T131110Z
JPM_FQ1_2026,full_bundle,0.15,HOLD,23046,2022,25068,0.008395,13.22,0.009096,0.006043,no_trade,no_trade,,20260812T131110Z
JPM_FQ1_2026,press_release,0.15,HOLD,8807,1179,9986,0.003624,7.71,0.009096,0.006043,no_trade,no_trade,,20260812T131110Z
JPM_FQ1_2026,prepared_remarks,-0.1,SELL,5011,2216,7227,0.003739,13.99,0.009096,0.006043,flat,flat,-0.010096,20260812T131110Z
JPM_FQ1_2026,qa_only,0.1,HOLD,15726,1636,17362,0.005969,11.94,0.009096,0.006043,no_trade,no_trade,,20260812T131110Z
TGT_FQ1_2025,full_bundle,-0.5,SELL,22146,1975,24121,0.008101,13.48,-0.009031,0.019998,flat,flat,0.008031,20260812T131110Z
TGT_FQ1_2025,press_release,-0.35,SELL,8431,2327,10758,0.004785,13.49,-0.009031,0.019998,flat,flat,0.008031,20260812T131110Z
TGT_FQ1_2025,prepared_remarks,-0.5,SELL,11370,1739,13109,0.004906,10.95,-0.009031,0.019998,flat,flat,0.008031,20260812T131110Z
TGT_FQ1_2025,qa_only,-0.5,SELL,8837,1672,10509,0.004148,11.43,-0.009031,0.019998,flat,flat,0.008031,20260812T131110Z
TGT_FQ1_2026,full_bundle,0.35,BUY,23228,2973,26201,0.009491,17.35,-0.012262,0.051663,flat,correct,-0.013262,20260812T131110Z
TGT_FQ1_2026,press_release,0.3,BUY,8685,2284,10969,0.004806,13.34,-0.012262,0.051663,flat,correct,-0.013262,20260812T131110Z
TGT_FQ1_2026,prepared_remarks,0.3,BUY,9843,2642,12485,0.005487,15.5,-0.012262,0.051663,flat,correct,-0.013262,20260812T131110Z
TGT_FQ1_2026,qa_only,0.3,BUY,11192,2779,13971,0.006002,17.24,-0.012262,0.051663,flat,correct,-0.013262,20260812T131110Z
TGT_FQ2_2025,full_bundle,-0.1,SELL,23648,2690,26338,0.009293,15.9,-0.002027,-0.007397,flat,flat,0.0010270000000000001,20260812T131110Z
TGT_FQ2_2025,press_release,-0.1,SELL,9116,2188,11304,0.004817,15.48,-0.002027,-0.007397,flat,flat,0.0010270000000000001,20260812T131110Z
TGT_FQ2_2025,prepared_remarks,0.15,HOLD,11043,2742,13785,0.005921,15.83,-0.002027,-0.007397,no_trade,no_trade,,20260812T131110Z
TGT_FQ2_2025,qa_only,0.15,HOLD,9981,1911,11892,0.00472,11.9,-0.002027,-0.007397,no_trade,no_trade,,20260812T131110Z
TGT_FQ3_2025,full_bundle,-0.35,SELL,24287,2897,27184,0.009693,16.86,0.000929,0.043216,flat,wrong,-0.0019290000000000002,20260812T131110Z
TGT_FQ3_2025,press_release,-0.3,SELL,9470,1858,11328,0.004549,10.93,0.000929,0.043216,flat,wrong,-0.0019290000000000002,20260812T131110Z
TGT_FQ3_2025,prepared_remarks,-0.35,SELL,10315,2031,12346,0.004942,12.13,0.000929,0.043216,flat,wrong,-0.0019290000000000002,20260812T131110Z
TGT_FQ3_2025,qa_only,-0.3,SELL,10994,2012,13006,0.005105,12.79,0.000929,0.043216,flat,wrong,-0.0019290000000000002,20260812T131110Z
