# FinBERT baseline on extension corpus
# N=93 extension events
# Graded (|ret|>2%): 34
# FinBERT thresholds (phase2 dev, frozen): upper=0.20663980, lower=-0.13032883
# Grading band: +-2% raw overnight (pre-registered)
# Extension is pure eval; no dev refitting.
document_id,ticker,report_date,ret_overnight,outcome_label,finbert_score,finbert_n_chunks,finbert_predicted_signal,finbert_correct,model_predicted_signal,model_correct
XOM_FQ1_2024,XOM,2024-04-26,-0.0192,HOLD,0.116322,46,HOLD,,HOLD,
XOM_FQ1_2025,XOM,2025-05-02,0.0183,HOLD,0.150548,47,HOLD,,HOLD,
XOM_FQ1_2026,XOM,2026-05-01,-0.0111,HOLD,0.128527,50,HOLD,,HOLD,
XOM_FQ2_2023,XOM,2023-07-28,-0.0029,HOLD,0.079515,108,HOLD,,HOLD,
XOM_FQ2_2024,XOM,2024-08-02,-0.0084,HOLD,0.137581,49,HOLD,,HOLD,
XOM_FQ2_2025,XOM,2025-08-01,0.0032,HOLD,0.119051,51,HOLD,,HOLD,
XOM_FQ3_2023,XOM,2023-10-27,0.012,HOLD,0.075495,53,HOLD,,HOLD,
XOM_FQ3_2024,XOM,2024-11-01,0.027,BUY,0.192487,55,HOLD,0,HOLD,0
XOM_FQ3_2025,XOM,2025-10-31,-0.0062,HOLD,0.118182,50,HOLD,,BUY,
XOM_FQ4_2023,XOM,2024-02-02,0.0133,HOLD,0.094017,84,HOLD,,HOLD,
XOM_FQ4_2024,XOM,2025-01-31,0.0089,HOLD,0.118393,54,HOLD,,HOLD,
XOM_FQ4_2025,XOM,2026-01-30,-0.0126,HOLD,0.151326,55,HOLD,,HOLD,
FCX_FQ1_2026,FCX,2026-04-23,-0.115,SELL,0.166845,73,HOLD,0,SELL,1
FCX_FQ2_2025,FCX,2025-07-23,-0.0249,SELL,0.117791,90,HOLD,0,HOLD,0
FCX_FQ4_2025,FCX,2026-01-22,0.0033,HOLD,0.106836,90,HOLD,,HOLD,
HEINY_FQ1_2024,HEIA.AS,2024-03-01,0.0049,HOLD,0.278934,14,BUY,,HOLD,
HEINY_FQ2_2024,HEIA.AS,2024-07-01,0.0055,HOLD,0.15455,58,HOLD,,HOLD,
HEINY_FQ3_2024,HEIA.AS,2024-10-01,0.0005,HOLD,0.066898,16,HOLD,,HOLD,
HEINY_FQ3_2025,HEIA.AS,2025-10-01,-0.0027,HOLD,-0.142722,18,SELL,,SELL,
RMS_FQ1_2025,RMSP.XC,2025-02-01,-0.0287,SELL,0.214677,19,BUY,0,HOLD,0
RMS_FQ2_2025,RMSP.XC,2025-07-01,-0.0364,SELL,0.317751,31,BUY,0,SELL,1
RMS_FQ3_2025,RMSP.XC,2025-10-01,-0.0334,SELL,0.341306,18,BUY,0,HOLD,0
RMS_FQ4_2025,RMSP.XC,2026-02-01,0.0308,BUY,0.270691,40,BUY,1,HOLD,0
HD_FQ1_2026,HD,2026-05-19,-0.0265,SELL,0.229381,31,BUY,0,SELL,1
HD_FQ2_2025,HD,2025-08-19,0.016,HOLD,0.209738,36,BUY,,HOLD,
HD_FQ3_2025,HD,2025-11-18,-0.0504,SELL,0.15416,29,HOLD,0,SELL,1
HD_FQ4_2025,HD,2026-02-24,0.0321,BUY,0.196658,36,HOLD,0,SELL,0
INTC_FQ1_2026,INTC,2026-04-23,0.2309,BUY,-0.00859,16,HOLD,0,HOLD,0
INTC_FQ2_2025,INTC,2025-07-24,-0.0862,SELL,0.061893,46,HOLD,0,SELL,1
INTC_FQ3_2025,INTC,2025-10-23,0.0487,BUY,0.191827,46,HOLD,0,BUY,1
INTC_FQ4_2025,INTC,2026-01-22,-0.1373,SELL,0.042878,49,HOLD,0,HOLD,0
MA_FQ1_2026,MA,2026-04-30,-0.0395,SELL,0.260218,44,BUY,0,SELL,1
MA_FQ2_2025,MA,2025-07-31,0.0169,HOLD,0.212103,54,BUY,,HOLD,
MA_FQ3_2025,MA,2025-10-30,-0.0054,HOLD,0.225837,52,BUY,,BUY,
MA_FQ4_2025,MA,2026-01-29,0.02,HOLD,0.268338,52,BUY,,HOLD,
NSRGY_FQ1_2026,NSRGY,2026-02-01,0.0244,BUY,0.507833,31,BUY,1,HOLD,0
NSRGY_FQ3_2024,NSRGY,2024-10-01,-0.0037,HOLD,0.067256,32,HOLD,,SELL,
SHEL_FQ1_2026,SHEL,2026-05-01,-0.0052,HOLD,0.180355,15,HOLD,,HOLD,
SHEL_FQ2_2025,SHEL,2025-08-01,0.0047,HOLD,0.039866,15,HOLD,,HOLD,
SHEL_FQ3_2025,SHEL,2025-11-01,-0.0009,HOLD,0.280907,14,BUY,,BUY,
SHEL_FQ4_2025,SHEL,2026-02-01,-0.0129,HOLD,0.138179,18,HOLD,,HOLD,
SHOP_FQ1_2026,SHOP,2026-05-05,-0.0902,SELL,0.236637,39,BUY,0,HOLD,0
SHOP_FQ3_2025,SHOP,2025-11-04,-0.0571,SELL,0.221646,39,BUY,0,BUY,0
SHOP_FQ4_2025,SHOP,2026-02-11,0.0916,BUY,0.285638,35,BUY,1,BUY,1
SONY_FQ1_2026,SONY,2026-08-01,-0.0241,SELL,-0.169635,17,SELL,1,HOLD,0
SONY_FQ2_2025,SONY,2025-11-01,0.0029,HOLD,-0.029891,17,HOLD,,BUY,
SONY_FQ3_2025,SONY,2026-02-01,-0.0005,HOLD,-0.112993,17,HOLD,,BUY,
UNP_FQ1_2026,UNP,2026-05-06,0.0054,HOLD,0.286574,35,BUY,,SELL,
UNP_FQ2_2025,UNP,2025-08-21,-0.0009,HOLD,0.241458,45,BUY,,HOLD,
UNP_FQ3_2025,UNP,2025-11-05,-0.0053,HOLD,0.092802,55,HOLD,,HOLD,
UNP_FQ4_2025,UNP,2026-02-04,0.0043,HOLD,0.142793,61,HOLD,,HOLD,
