rater,report_date,ticker,decision,gap,net,equity
LLM (DeepSeek),2025-08-01,XOM,HOLD,0.0032,0.0,1.051
LLM (DeepSeek),2025-08-01,SHEL,HOLD,0.0047,0.0,1.051
LLM (DeepSeek),2025-08-05,DUK,HOLD,0.0053,0.0,1.051
LLM (DeepSeek),2025-08-07,DDOG,HOLD,0.0788,0.0,1.051
LLM (DeepSeek),2025-08-19,HD,HOLD,0.016,0.0,1.051
LLM (DeepSeek),2025-08-21,UNP,HOLD,-0.0009,-0.0,1.051
LLM (DeepSeek),2025-09-11,ADBE,BUY,0.0301,0.0291,1.0815
LLM (DeepSeek),2025-09-25,COST,HOLD,-0.0188,-0.0,1.0815
LLM (DeepSeek),2025-10-01,HEIA.AS,SELL,-0.0027,0.0017,1.0834
LLM (DeepSeek),2025-10-01,RMSP.XC,HOLD,0.0026,0.0,1.0834
LLM (DeepSeek),2025-10-17,AXP,BUY,0.0287,0.0277,1.1134
LLM (DeepSeek),2025-10-23,INTC,BUY,0.0487,0.0477,1.1666
LLM (DeepSeek),2025-10-29,EBAY,BUY,-0.1401,-0.1411,1.002
LLM (DeepSeek),2025-10-30,MA,BUY,-0.0054,-0.0064,0.9955
LLM (DeepSeek),2025-10-31,CVX,BUY,0.0144,0.0134,1.0088
LLM (DeepSeek),2025-10-31,CL,SELL,-0.0125,0.0115,1.0205
LLM (DeepSeek),2025-10-31,XOM,BUY,-0.0062,-0.0072,1.0132
LLM (DeepSeek),2025-11-01,SHEL,BUY,-0.001,-0.002,1.0112
LLM (DeepSeek),2025-11-01,SONY,BUY,0.0029,0.0019,1.0131
LLM (DeepSeek),2025-11-04,SHOP,BUY,-0.0571,-0.0581,0.9542
LLM (DeepSeek),2025-11-05,UNP,HOLD,-0.0052,-0.0,0.9542
LLM (DeepSeek),2025-11-06,DDOG,BUY,0.1543,0.1533,1.1005
LLM (DeepSeek),2025-11-07,DUK,BUY,-0.005,-0.006,1.0939
LLM (DeepSeek),2025-11-18,HD,SELL,-0.0504,0.0494,1.148
LLM (DeepSeek),2025-12-10,ADBE,HOLD,-0.0043,-0.0,1.148
LLM (DeepSeek),2025-12-11,COST,HOLD,-0.0013,-0.0,1.148
LLM (DeepSeek),2026-01-22,FCX,HOLD,0.0033,0.0,1.148
LLM (DeepSeek),2026-01-22,INTC,HOLD,-0.1373,-0.0,1.148
LLM (DeepSeek),2026-01-29,MA,HOLD,0.02,0.0,1.148
LLM (DeepSeek),2026-01-30,AXP,HOLD,-0.0097,-0.0,1.148
LLM (DeepSeek),2026-01-30,CVX,HOLD,0.0084,0.0,1.148
LLM (DeepSeek),2026-01-30,CL,HOLD,0.0406,0.0,1.148
LLM (DeepSeek),2026-01-30,XOM,HOLD,-0.0126,-0.0,1.148
LLM (DeepSeek),2026-02-01,RMSP.XC,HOLD,-0.059802,0.0,1.148
LLM (DeepSeek),2026-02-01,NSRGY,HOLD,0.0244,0.0,1.148
LLM (DeepSeek),2026-02-01,SHEL,HOLD,-0.0128,-0.0,1.148
LLM (DeepSeek),2026-02-01,SONY,BUY,-0.0005,-0.0015,1.1463
LLM (DeepSeek),2026-02-04,UNP,HOLD,0.0044,0.0,1.1463
LLM (DeepSeek),2026-02-10,DDOG,HOLD,0.0892,0.0,1.1463
LLM (DeepSeek),2026-02-10,DUK,BUY,0.005,0.004,1.1509
LLM (DeepSeek),2026-02-11,SHOP,BUY,0.0916,0.0906,1.2552
LLM (DeepSeek),2026-02-24,HD,SELL,0.0321,-0.0331,1.2136
LLM (DeepSeek),2026-03-05,COST,HOLD,-0.0158,-0.0,1.2136
LLM (DeepSeek),2026-03-12,ADBE,HOLD,-0.077,-0.0,1.2136
LLM (DeepSeek),2026-04-23,AXP,HOLD,-0.0021,-0.0,1.2136
LLM (DeepSeek),2026-04-23,FCX,SELL,-0.115,0.114,1.352
LLM (DeepSeek),2026-04-23,INTC,HOLD,0.2309,0.0,1.352
LLM (DeepSeek),2026-04-24,CL,SELL,0.0101,-0.0111,1.337
LLM (DeepSeek),2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.337
LLM (DeepSeek),2026-04-30,MA,SELL,-0.0395,0.0385,1.3884
LLM (DeepSeek),2026-05-01,CVX,HOLD,-0.0104,-0.0,1.3884
LLM (DeepSeek),2026-05-01,XOM,HOLD,-0.0112,-0.0,1.3884
LLM (DeepSeek),2026-05-01,SHEL,HOLD,-0.0053,-0.0,1.3884
LLM (DeepSeek),2026-05-05,DUK,HOLD,-0.0043,-0.0,1.3884
LLM (DeepSeek),2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.3884
LLM (DeepSeek),2026-05-06,UNP,SELL,0.0054,-0.0064,1.3795
LLM (DeepSeek),2026-05-07,DDOG,HOLD,0.3081,0.0,1.3795
LLM (DeepSeek),2026-05-19,HD,SELL,-0.0265,0.0255,1.4146
LLM (DeepSeek),2026-05-28,COST,HOLD,-0.0087,-0.0,1.4146
LLM (DeepSeek),2026-06-11,ADBE,HOLD,-0.075,-0.0,1.4146
LLM (DeepSeek),2026-07-31,CL,HOLD,-0.0082,-0.0,1.4146
LLM (DeepSeek),2026-08-01,SONY,HOLD,-0.0241,-0.0,1.4146
baseline: always-long,2023-04-28,XOM,BUY,0.0035,0.0025,1.0025
baseline: always-long,2023-05-09,DUK,BUY,0.0079,0.0069,1.0094172
baseline: always-long,2023-07-28,XOM,BUY,-0.0029,-0.0039,1.0054805
baseline: always-long,2023-08-08,DUK,BUY,-0.0028,-0.0038,1.0016597
baseline: always-long,2023-10-27,XOM,BUY,0.012,0.011,1.012678
baseline: always-long,2023-11-02,DUK,BUY,0.0141,0.0131,1.0259441
baseline: always-long,2024-02-02,XOM,BUY,0.0133,0.0123,1.0385632
baseline: always-long,2024-02-08,DUK,BUY,-0.0041,-0.0051,1.0332665
baseline: always-long,2024-03-01,HEIA.AS,BUY,0.0049,0.0039,1.0372962
baseline: always-long,2024-04-26,XOM,BUY,-0.0192,-0.0202,1.0163428
baseline: always-long,2024-05-07,DUK,BUY,0.0017,0.0007,1.0170542
baseline: always-long,2024-07-01,HEIA.AS,BUY,0.0056,0.0046,1.0217326
baseline: always-long,2024-08-02,XOM,BUY,-0.0084,-0.0094,1.0121283
baseline: always-long,2024-08-06,DUK,BUY,0.0027,0.0017,1.0138489
baseline: always-long,2024-10-01,HEIA.AS,BUY,0.0005,-0.0005,1.013342
baseline: always-long,2024-10-01,NSRGY,BUY,-0.0036,-0.0046,1.0086806
baseline: always-long,2024-11-01,XOM,BUY,0.0269,0.0259,1.0348054
baseline: always-long,2024-11-07,DUK,BUY,0.0062,0.0052,1.0401864
baseline: always-long,2025-01-31,XOM,BUY,0.009,0.008,1.0485079
baseline: always-long,2025-02-01,RMSP.XC,BUY,0.057228,0.056228,1.1074634
baseline: always-long,2025-02-13,DUK,BUY,0.0032,0.0022,1.1098998
baseline: always-long,2025-04-30,EBAY,BUY,0.0277,0.0267,1.1395341
baseline: always-long,2025-05-02,XOM,BUY,0.0183,0.0173,1.159248
baseline: always-long,2025-05-06,DUK,BUY,-0.0032,-0.0042,1.1543792
baseline: always-long,2025-07-01,RMSP.XC,BUY,-0.0039,-0.0049,1.1487227
baseline: always-long,2025-07-18,AXP,BUY,-0.0111,-0.0121,1.1348232
baseline: always-long,2025-07-23,FCX,BUY,-0.0247,-0.0257,1.1056582
baseline: always-long,2025-07-24,INTC,BUY,-0.0862,-0.0872,1.0092448
baseline: always-long,2025-07-30,EBAY,BUY,0.1371,0.1361,1.146603
baseline: always-long,2025-07-31,MA,BUY,0.0169,0.0159,1.164834
baseline: always-long,2025-08-01,CVX,BUY,0.006,0.005,1.1706582
baseline: always-long,2025-08-01,XOM,BUY,0.0032,0.0022,1.1732336
baseline: always-long,2025-08-01,SHEL,BUY,0.0047,0.0037,1.1775746
baseline: always-long,2025-08-05,DUK,BUY,0.0053,0.0043,1.1826382
baseline: always-long,2025-08-07,DDOG,BUY,0.0788,0.0778,1.2746475
baseline: always-long,2025-08-19,HD,BUY,0.016,0.015,1.2937672
baseline: always-long,2025-08-21,UNP,BUY,-0.0009,-0.0019,1.291309
baseline: always-long,2025-09-11,ADBE,BUY,0.0301,0.0291,1.3288861
baseline: always-long,2025-09-25,COST,BUY,-0.0188,-0.0198,1.3025742
baseline: always-long,2025-10-01,HEIA.AS,BUY,-0.0027,-0.0037,1.2977547
baseline: always-long,2025-10-01,RMSP.XC,BUY,0.0026,0.0016,1.2998311
baseline: always-long,2025-10-17,AXP,BUY,0.0287,0.0277,1.3358364
baseline: always-long,2025-10-23,INTC,BUY,0.0487,0.0477,1.3995558
baseline: always-long,2025-10-29,EBAY,BUY,-0.1401,-0.1411,1.2020785
baseline: always-long,2025-10-30,MA,BUY,-0.0054,-0.0064,1.1943852
baseline: always-long,2025-10-31,CVX,BUY,0.0144,0.0134,1.21039
baseline: always-long,2025-10-31,CL,BUY,-0.0125,-0.0135,1.1940497
baseline: always-long,2025-10-31,XOM,BUY,-0.0062,-0.0072,1.1854525
baseline: always-long,2025-11-01,SHEL,BUY,-0.001,-0.002,1.1830816
baseline: always-long,2025-11-01,SONY,BUY,0.0029,0.0019,1.1853295
baseline: always-long,2025-11-04,SHOP,BUY,-0.0571,-0.0581,1.1164619
baseline: always-long,2025-11-05,UNP,BUY,-0.0052,-0.0062,1.1095398
baseline: always-long,2025-11-06,DDOG,BUY,0.1543,0.1533,1.2796323
baseline: always-long,2025-11-07,DUK,BUY,-0.005,-0.006,1.2719545
baseline: always-long,2025-11-18,HD,BUY,-0.0504,-0.0514,1.206576
baseline: always-long,2025-12-10,ADBE,BUY,-0.0043,-0.0053,1.2001811
baseline: always-long,2025-12-11,COST,BUY,-0.0013,-0.0023,1.1974207
baseline: always-long,2026-01-22,FCX,BUY,0.0033,0.0023,1.2001748
baseline: always-long,2026-01-22,INTC,BUY,-0.1373,-0.1383,1.0341906
baseline: always-long,2026-01-29,MA,BUY,0.02,0.019,1.0538402
baseline: always-long,2026-01-30,AXP,BUY,-0.0097,-0.0107,1.0425641
baseline: always-long,2026-01-30,CVX,BUY,0.0084,0.0074,1.0502791
baseline: always-long,2026-01-30,CL,BUY,0.0406,0.0396,1.0918702
baseline: always-long,2026-01-30,XOM,BUY,-0.0126,-0.0136,1.0770208
baseline: always-long,2026-02-01,RMSP.XC,BUY,-0.059802,-0.060802,1.0115358
baseline: always-long,2026-02-01,NSRGY,BUY,0.0244,0.0234,1.0352057
baseline: always-long,2026-02-01,SHEL,BUY,-0.0128,-0.0138,1.0209199
baseline: always-long,2026-02-01,SONY,BUY,-0.0005,-0.0015,1.0193885
baseline: always-long,2026-02-04,UNP,BUY,0.0044,0.0034,1.0228544
baseline: always-long,2026-02-10,DDOG,BUY,0.0892,0.0882,1.1130702
baseline: always-long,2026-02-10,DUK,BUY,0.005,0.004,1.1175225
baseline: always-long,2026-02-11,SHOP,BUY,0.0916,0.0906,1.21877
baseline: always-long,2026-02-24,HD,BUY,0.0321,0.0311,1.2566737
baseline: always-long,2026-03-05,COST,BUY,-0.0158,-0.0168,1.2355616
baseline: always-long,2026-03-12,ADBE,BUY,-0.077,-0.078,1.1391878
baseline: always-long,2026-04-23,AXP,BUY,-0.0021,-0.0031,1.1356563
baseline: always-long,2026-04-23,FCX,BUY,-0.115,-0.116,1.0039202
baseline: always-long,2026-04-23,INTC,BUY,0.2309,0.2299,1.2347215
baseline: always-long,2026-04-24,CL,BUY,0.0101,0.0091,1.2459575
baseline: always-long,2026-04-29,EBAY,BUY,-0.0358,-0.0368,1.2001063
baseline: always-long,2026-04-30,MA,BUY,-0.0395,-0.0405,1.151502
baseline: always-long,2026-05-01,CVX,BUY,-0.0104,-0.0114,1.1383749
baseline: always-long,2026-05-01,XOM,BUY,-0.0112,-0.0122,1.1244867
baseline: always-long,2026-05-01,SHEL,BUY,-0.0053,-0.0063,1.1174024
baseline: always-long,2026-05-05,DUK,BUY,-0.0043,-0.0053,1.1114802
baseline: always-long,2026-05-05,SHOP,BUY,-0.0902,-0.0912,1.0101132
baseline: always-long,2026-05-06,UNP,BUY,0.0054,0.0044,1.0145577
baseline: always-long,2026-05-07,DDOG,BUY,0.3081,0.3071,1.3261284
baseline: always-long,2026-05-19,HD,BUY,-0.0265,-0.0275,1.2896599
baseline: always-long,2026-05-28,COST,BUY,-0.0087,-0.0097,1.2771502
baseline: always-long,2026-06-11,ADBE,BUY,-0.075,-0.076,1.1800868
baseline: always-long,2026-07-31,CL,BUY,-0.0082,-0.0092,1.16923
baseline: always-long,2026-08-01,SONY,BUY,-0.0241,-0.0251,1.1398823
baseline: always-flat,2023-04-28,XOM,HOLD,0.0035,0.0,1.0
baseline: always-flat,2023-05-09,DUK,HOLD,0.0079,0.0,1.0
baseline: always-flat,2023-07-28,XOM,HOLD,-0.0029,-0.0,1.0
baseline: always-flat,2023-08-08,DUK,HOLD,-0.0028,-0.0,1.0
baseline: always-flat,2023-10-27,XOM,HOLD,0.012,0.0,1.0
baseline: always-flat,2023-11-02,DUK,HOLD,0.0141,0.0,1.0
baseline: always-flat,2024-02-02,XOM,HOLD,0.0133,0.0,1.0
baseline: always-flat,2024-02-08,DUK,HOLD,-0.0041,-0.0,1.0
baseline: always-flat,2024-03-01,HEIA.AS,HOLD,0.0049,0.0,1.0
baseline: always-flat,2024-04-26,XOM,HOLD,-0.0192,-0.0,1.0
baseline: always-flat,2024-05-07,DUK,HOLD,0.0017,0.0,1.0
baseline: always-flat,2024-07-01,HEIA.AS,HOLD,0.0056,0.0,1.0
baseline: always-flat,2024-08-02,XOM,HOLD,-0.0084,-0.0,1.0
baseline: always-flat,2024-08-06,DUK,HOLD,0.0027,0.0,1.0
baseline: always-flat,2024-10-01,HEIA.AS,HOLD,0.0005,0.0,1.0
baseline: always-flat,2024-10-01,NSRGY,HOLD,-0.0036,-0.0,1.0
baseline: always-flat,2024-11-01,XOM,HOLD,0.0269,0.0,1.0
baseline: always-flat,2024-11-07,DUK,HOLD,0.0062,0.0,1.0
baseline: always-flat,2025-01-31,XOM,HOLD,0.009,0.0,1.0
baseline: always-flat,2025-02-01,RMSP.XC,HOLD,0.0,0.0,1.0
baseline: always-flat,2025-02-13,DUK,HOLD,0.0032,0.0,1.0
baseline: always-flat,2025-04-30,EBAY,HOLD,0.0277,0.0,1.0
baseline: always-flat,2025-05-02,XOM,HOLD,0.0183,0.0,1.0
baseline: always-flat,2025-05-06,DUK,HOLD,-0.0032,-0.0,1.0
baseline: always-flat,2025-07-01,RMSP.XC,HOLD,-0.0039,-0.0,1.0
baseline: always-flat,2025-07-18,AXP,HOLD,-0.0111,-0.0,1.0
baseline: always-flat,2025-07-23,FCX,HOLD,-0.0247,-0.0,1.0
baseline: always-flat,2025-07-24,INTC,HOLD,-0.0862,-0.0,1.0
baseline: always-flat,2025-07-30,EBAY,HOLD,0.1371,0.0,1.0
baseline: always-flat,2025-07-31,MA,HOLD,0.0169,0.0,1.0
baseline: always-flat,2025-08-01,CVX,HOLD,0.006,0.0,1.0
baseline: always-flat,2025-08-01,XOM,HOLD,0.0032,0.0,1.0
baseline: always-flat,2025-08-01,SHEL,HOLD,0.0047,0.0,1.0
baseline: always-flat,2025-08-05,DUK,HOLD,0.0053,0.0,1.0
baseline: always-flat,2025-08-07,DDOG,HOLD,0.0788,0.0,1.0
baseline: always-flat,2025-08-19,HD,HOLD,0.016,0.0,1.0
baseline: always-flat,2025-08-21,UNP,HOLD,-0.0009,-0.0,1.0
baseline: always-flat,2025-09-11,ADBE,HOLD,0.0301,0.0,1.0
baseline: always-flat,2025-09-25,COST,HOLD,-0.0188,-0.0,1.0
baseline: always-flat,2025-10-01,HEIA.AS,HOLD,-0.0027,-0.0,1.0
baseline: always-flat,2025-10-01,RMSP.XC,HOLD,0.0026,0.0,1.0
baseline: always-flat,2025-10-17,AXP,HOLD,0.0287,0.0,1.0
baseline: always-flat,2025-10-23,INTC,HOLD,0.0487,0.0,1.0
baseline: always-flat,2025-10-29,EBAY,HOLD,-0.1401,-0.0,1.0
baseline: always-flat,2025-10-30,MA,HOLD,-0.0054,-0.0,1.0
baseline: always-flat,2025-10-31,CVX,HOLD,0.0144,0.0,1.0
baseline: always-flat,2025-10-31,CL,HOLD,-0.0125,-0.0,1.0
baseline: always-flat,2025-10-31,XOM,HOLD,-0.0062,-0.0,1.0
baseline: always-flat,2025-11-01,SHEL,HOLD,-0.001,-0.0,1.0
baseline: always-flat,2025-11-01,SONY,HOLD,0.0029,0.0,1.0
baseline: always-flat,2025-11-04,SHOP,HOLD,-0.0571,-0.0,1.0
baseline: always-flat,2025-11-05,UNP,HOLD,-0.0052,-0.0,1.0
baseline: always-flat,2025-11-06,DDOG,HOLD,0.1543,0.0,1.0
baseline: always-flat,2025-11-07,DUK,HOLD,-0.005,-0.0,1.0
baseline: always-flat,2025-11-18,HD,HOLD,-0.0504,-0.0,1.0
baseline: always-flat,2025-12-10,ADBE,HOLD,-0.0043,-0.0,1.0
baseline: always-flat,2025-12-11,COST,HOLD,-0.0013,-0.0,1.0
baseline: always-flat,2026-01-22,FCX,HOLD,0.0033,0.0,1.0
baseline: always-flat,2026-01-22,INTC,HOLD,-0.1373,-0.0,1.0
baseline: always-flat,2026-01-29,MA,HOLD,0.02,0.0,1.0
baseline: always-flat,2026-01-30,AXP,HOLD,-0.0097,-0.0,1.0
baseline: always-flat,2026-01-30,CVX,HOLD,0.0084,0.0,1.0
baseline: always-flat,2026-01-30,CL,HOLD,0.0406,0.0,1.0
baseline: always-flat,2026-01-30,XOM,HOLD,-0.0126,-0.0,1.0
baseline: always-flat,2026-02-01,RMSP.XC,HOLD,0.0,0.0,1.0
baseline: always-flat,2026-02-01,NSRGY,HOLD,0.0244,0.0,1.0
baseline: always-flat,2026-02-01,SHEL,HOLD,-0.0128,-0.0,1.0
baseline: always-flat,2026-02-01,SONY,HOLD,-0.0005,-0.0,1.0
baseline: always-flat,2026-02-04,UNP,HOLD,0.0044,0.0,1.0
baseline: always-flat,2026-02-10,DDOG,HOLD,0.0892,0.0,1.0
baseline: always-flat,2026-02-10,DUK,HOLD,0.005,0.0,1.0
baseline: always-flat,2026-02-11,SHOP,HOLD,0.0916,0.0,1.0
baseline: always-flat,2026-02-24,HD,HOLD,0.0321,0.0,1.0
baseline: always-flat,2026-03-05,COST,HOLD,-0.0158,-0.0,1.0
baseline: always-flat,2026-03-12,ADBE,HOLD,-0.077,-0.0,1.0
baseline: always-flat,2026-04-23,AXP,HOLD,-0.0021,-0.0,1.0
baseline: always-flat,2026-04-23,FCX,HOLD,-0.115,-0.0,1.0
baseline: always-flat,2026-04-23,INTC,HOLD,0.2309,0.0,1.0
baseline: always-flat,2026-04-24,CL,HOLD,0.0101,0.0,1.0
baseline: always-flat,2026-04-29,EBAY,HOLD,-0.0358,-0.0,1.0
baseline: always-flat,2026-04-30,MA,HOLD,-0.0395,-0.0,1.0
baseline: always-flat,2026-05-01,CVX,HOLD,-0.0104,-0.0,1.0
baseline: always-flat,2026-05-01,XOM,HOLD,-0.0112,-0.0,1.0
baseline: always-flat,2026-05-01,SHEL,HOLD,-0.0053,-0.0,1.0
baseline: always-flat,2026-05-05,DUK,HOLD,-0.0043,-0.0,1.0
baseline: always-flat,2026-05-05,SHOP,HOLD,-0.0902,-0.0,1.0
baseline: always-flat,2026-05-06,UNP,HOLD,0.0054,0.0,1.0
baseline: always-flat,2026-05-07,DDOG,HOLD,0.3081,0.0,1.0
baseline: always-flat,2026-05-19,HD,HOLD,-0.0265,-0.0,1.0
baseline: always-flat,2026-05-28,COST,HOLD,-0.0087,-0.0,1.0
baseline: always-flat,2026-06-11,ADBE,HOLD,-0.075,-0.0,1.0
baseline: always-flat,2026-07-31,CL,HOLD,-0.0082,-0.0,1.0
baseline: always-flat,2026-08-01,SONY,HOLD,-0.0241,-0.0,1.0
