row_index,event_key,company,ticker,year,quarter,sentiment_score,decision,token_cost,run_id,model_version,run_date,document_date,closing_date,prior_close,opening_date,next_day_open,actual_pct_change,actual_direction,prediction_correct,position,net_pnl,release_date,release_timing,release_date_source,excluded,exclusion_reason,in_four_arm_set,in_two_arm_set,arm_full_decision,arm_full_correct,arm_full_tokens,arm_pr_decision,arm_pr_correct,arm_pr_tokens,arm_prepared_decision,arm_prepared_correct,arm_prepared_tokens,arm_qa_decision,arm_qa_correct,arm_qa_tokens,notes
17,CVS Health|2025|Q2,CVS Health,CVS,2025,Q2,0.21,HOLD,0.007279,20260812_183842,deepseek-chat,,2025-07-31,2025-07-30,62.3,2025-07-31,65.51,5.1525,UP,NO,0,0.0,2025-07-31,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,21049,HOLD,,8985,BUY,,11095,HOLD,,12471,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
18,CVS Health|2025|Q3,CVS Health,CVS,2025,Q3,0.3,BUY,0.008589,20260812_183842,deepseek-chat,,2025-10-29,2025-10-28,82.2,2025-10-29,82.5,0.365,FLAT,NO,1,0.00265,2025-10-29,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,22357,SELL,,8461,BUY,,10727,SELL,,14469,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
19,CVS Health|2025|Q4,CVS Health,CVS,2025,Q4,0.195,HOLD,0.007673,20260812_183842,deepseek-chat,,2026-02-10,2026-02-09,75.77,2026-02-10,73.77,-2.6396,DOWN,NO,0,0.0,2026-02-10,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,22756,SELL,,9587,HOLD,,11268,SELL,,12697,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
20,Charles Schwab|2025|Q1,Charles Schwab,SCHW,2025,Q1,0.03,HOLD,0.009676,20260812_183842,deepseek-chat,,2025-04-17,2025-04-17,76.15,2025-04-18,75.64,-0.6697,FLAT,YES,0,0.0,2025-04-17,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,28977,HOLD,,14722,HOLD,,10195,HOLD,,13198,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
21,Charles Schwab|2026|Q1,Charles Schwab,SCHW,2026,Q1,0.03,HOLD,0.009292,20260812_183842,deepseek-chat,,2026-04-16,2026-04-16,92.62,2026-04-17,93.35,0.7882,FLAT,YES,0,0.0,2026-04-16,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,28669,BUY,,15569,BUY,,9588,BUY,,14164,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
22,Charles Schwab|2025|Q2,Charles Schwab,SCHW,2025,Q2,0.21,HOLD,0.009653,20260812_183842,deepseek-chat,,2025-07-18,2025-07-18,95.8,2025-07-21,96.02,0.2296,FLAT,YES,0,0.0,2025-07-18,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,30274,HOLD,,16230,BUY,,10194,BUY,,13156,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
23,Charles Schwab|2025|Q3,Charles Schwab,SCHW,2025,Q3,0.3,BUY,0.00934,20260812_183842,deepseek-chat,,2025-10-16,2025-10-16,93.41,2025-10-17,94.72,1.4024,FLAT,NO,1,0.013024,2025-10-16,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,30373,BUY,,16173,BUY,,9906,BUY,,14166,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
24,Charles Schwab|2025|Q4,Charles Schwab,SCHW,2025,Q4,0.3875,BUY,0.009849,20260812_183842,deepseek-chat,,2026-01-21,2026-01-21,101.79,2026-01-22,103.07,1.2575,FLAT,NO,1,0.011575,2026-01-21,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,31069,BUY,,17554,BUY,,11980,HOLD,,11502,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
25,Citigroup|2025|Q1,Citigroup,C,2025,Q1,-0.0525,SELL,0.006537,20260812_183842,deepseek-chat,,2025-04-15,2025-04-14,63.22,2025-04-15,64.19,1.5343,FLAT,NO,-1,-0.016343,2025-04-15,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,64192,HOLD,,16415,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
26,Citigroup|2025|Q2,Citigroup,C,2025,Q2,0.1275,HOLD,0.007676,20260812_183842,deepseek-chat,,2025-07-15,2025-07-14,87.5,2025-07-15,88.65,1.3143,FLAT,YES,0,0.0,2025-07-15,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,71687,HOLD,,17631,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
27,Citigroup|2025|Q3,Citigroup,C,2025,Q3,0.3,BUY,0.009918,20260812_183842,deepseek-chat,,2025-10-14,2025-10-13,96.1,2025-10-14,95.37,-0.7596,FLAT,NO,1,-0.008596,2025-10-14,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,93545,HOLD,,19175,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
28,Citigroup|2025|Q4,Citigroup,C,2025,Q4,0.2775,BUY,0.017345,20260812_183842,deepseek-chat,,2026-01-14,2026-01-13,116.3,2026-01-14,117.91,1.3844,FLAT,NO,1,0.012844,2026-01-14,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,199090,HOLD,,17283,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
29,Coca-Cola|2026|Q1,Coca-Cola,KO,2026,Q1,0.03,HOLD,0.006676,20260812_183842,deepseek-chat,,2026-04-28,2026-04-27,75.44,2026-04-28,79.52,5.4083,UP,NO,0,0.0,2026-04-28,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,19015,HOLD,,5693,BUY,,9653,HOLD,,13328,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
30,Coca-Cola|2025|Q2,Coca-Cola,KO,2025,Q2,0.155,HOLD,0.006623,20260812_183842,deepseek-chat,,2025-07-22,2025-07-21,70.07,2025-07-22,69.45,-0.8848,FLAT,YES,0,0.0,2025-07-22,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,19112,HOLD,,6315,HOLD,,9967,HOLD,,13313,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
31,Coca-Cola|2025|Q4,Coca-Cola,KO,2025,Q4,0.195,HOLD,0.007041,20260812_183842,deepseek-chat,,2026-02-10,2026-02-09,77.97,2026-02-10,76.63,-1.7186,FLAT,YES,0,0.0,2026-02-10,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,20065,HOLD,,6274,HOLD,,9501,HOLD,,14169,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
32,Coinbase|2026|Q1,Coinbase,COIN,2026,Q1,-0.3275,SELL,0.007181,20260812_183842,deepseek-chat,,2026-05-07,2026-05-07,192.96,2026-05-08,186.05,-3.5811,DOWN,YES,-1,0.034811,2026-05-07,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
33,Coinbase|2025|Q3,Coinbase,COIN,2025,Q3,0.3,BUY,0.007314,20260812_183842,deepseek-chat,,2025-10-30,2025-10-30,328.51,2025-10-31,336.0,2.28,UP,YES,1,0.0218,2025-10-30,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
34,Coinbase|2025|Q4,Coinbase,COIN,2025,Q4,0.0575,HOLD,0.007531,20260812_183842,deepseek-chat,,2026-02-12,2026-02-12,141.09,2026-02-13,153.7,8.9376,UP,NO,0,0.0,2026-02-12,after_hours,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
35,Eli Lilly|2026|Q1,Eli Lilly,LLY,2026,Q1,0.3325,BUY,0.003456,20260812_183842,deepseek-chat,,2026-04-30,2026-04-29,851.21,2026-04-30,898.78,5.5885,UP,YES,1,0.054885,2026-04-30,pre_market,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
36,Eli Lilly|2025|Q3,Eli Lilly,LLY,2025,Q3,0.41,BUY,0.00343,20260812_183842,deepseek-chat,,2025-10-30,2025-10-29,813.53,2025-10-30,837.5,2.9464,UP,YES,1,0.028464,2025-10-30,pre_market,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
37,Eli Lilly|2025|Q4,Eli Lilly,LLY,2025,Q4,0.3875,BUY,0.003543,20260812_183842,deepseek-chat,,2026-02-04,2026-02-03,1003.46,2026-02-04,1075.12,7.1413,UP,YES,1,0.070413,2026-02-04,pre_market,returns_matrix.csv,TRUE,worksheet contamination,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
38,Goldman Sachs|2025|Q1,Goldman Sachs,GS,2025,Q1,-0.135,SELL,0.008151,20260812_183842,deepseek-chat,,2025-04-14,2025-04-11,494.44,2025-04-14,510.0,3.147,UP,NO,-1,-0.03247,2025-04-14,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,22507,HOLD,,6291,HOLD,,9148,HOLD,,16813,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
39,Goldman Sachs|2026|Q1,Goldman Sachs,GS,2026,Q1,-0.0525,SELL,0.008619,20260812_183842,deepseek-chat,,2026-04-13,2026-04-10,907.8,2026-04-13,875.55,-3.5525,DOWN,YES,-1,0.034525,2026-04-13,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,23927,HOLD,,6495,HOLD,,10448,HOLD,,17530,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
40,Goldman Sachs|2025|Q2,Goldman Sachs,GS,2025,Q2,0.21,HOLD,0.007994,20260812_183842,deepseek-chat,,2025-07-16,2025-07-15,702.51,2025-07-16,708.5,0.8527,FLAT,YES,0,0.0,2025-07-16,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,20898,HOLD,,6510,BUY,,10613,BUY,,13860,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
41,Goldman Sachs|2026|Q2,Goldman Sachs,GS,2026,Q2,0.03,HOLD,0.007519,20260812_183842,deepseek-chat,,2026-07-14,2026-07-13,1045.91,2026-07-14,1085.0,3.7374,UP,NO,0,0.0,2026-07-14,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,21130,BUY,,6062,BUY,,10060,BUY,,15542,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
42,Goldman Sachs|2025|Q3,Goldman Sachs,GS,2025,Q3,0.3275,BUY,0.007171,20260812_183842,deepseek-chat,,2025-10-14,2025-10-13,786.78,2025-10-14,764.45,-2.8382,DOWN,NO,1,-0.029382,2025-10-14,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,19735,HOLD,,6327,BUY,,9035,BUY,,14085,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
43,Goldman Sachs|2025|Q4,Goldman Sachs,GS,2025,Q4,0.2775,BUY,0.008229,20260812_183842,deepseek-chat,,2026-01-15,2026-01-14,932.67,2026-01-15,924.9,-0.8331,FLAT,NO,1,-0.009331,2026-01-15,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,BUY,,25170,HOLD,,6067,BUY,,12733,BUY,,16455,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
44,IBM|2026|Q1,IBM,IBM,2026,Q1,0.03,HOLD,0.004533,20260812_183842,deepseek-chat,,2026-04-22,2026-04-22,251.86,2026-04-23,232.27,-7.7781,DOWN,NO,0,0.0,2026-04-22,after_hours,returns_matrix.csv,FALSE,,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
45,IBM|2025|Q2,IBM,IBM,2025,Q2,0.32,BUY,0.005102,20260812_183842,deepseek-chat,,2025-07-23,2025-07-23,282.01,2025-07-24,261.25,-7.3614,DOWN,NO,1,-0.074614,2025-07-23,after_hours,returns_matrix.csv,FALSE,,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
46,IBM|2025|Q4,IBM,IBM,2025,Q4,0.305,BUY,0.00499,20260812_183842,deepseek-chat,,2026-01-28,2026-01-28,294.16,2026-01-29,317.86,8.0568,UP,YES,1,0.079568,2026-01-28,after_hours,returns_matrix.csv,FALSE,,FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
47,Lowe's|2025|Q1,Lowe's,LOW,2025,Q1,-0.135,SELL,0.006953,20260812_183842,deepseek-chat,,2026-05-20,2026-05-19,218.37,2026-05-20,213.98,-2.0103,DOWN,YES,-1,0.019103,2026-05-20,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,19844,HOLD,,5600,HOLD,,10140,SELL,,13734,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
48,Lowe's|2026|Q1,Lowe's,LOW,2026,Q1,-0.135,SELL,0.007282,20260812_183842,deepseek-chat,,2026-05-20,2026-05-19,218.37,2026-05-20,213.98,-2.0103,DOWN,YES,-1,0.019103,2026-05-20,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,20238,HOLD,,5776,HOLD,,11148,HOLD,,13336,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
49,Lowe's|2025|Q2,Lowe's,LOW,2025,Q2,0.0825,HOLD,0.006741,20260812_183842,deepseek-chat,,2025-08-20,2025-08-19,256.36,2025-08-20,265.4,3.5263,UP,NO,0,0.0,2025-08-20,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,HOLD,,19964,HOLD,,5938,HOLD,,10710,HOLD,,13925,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
50,Lowe's|2025|Q3,Lowe's,LOW,2025,Q3,-0.23,SELL,0.006449,20260812_183842,deepseek-chat,,2025-11-19,2025-11-18,219.57,2025-11-19,230.01,4.7547,UP,NO,-1,-0.048547,2025-11-19,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,SELL,,20035,HOLD,,5949,SELL,,11124,HOLD,,13186,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
51,Lowe's|2025|Q4,Lowe's,LOW,2025,Q4,-0.1275,SELL,0.007562,20260812_183842,deepseek-chat,,2026-02-25,2026-02-24,278.59,2026-02-25,266.25,-4.4294,DOWN,YES,-1,0.043294,2026-02-25,pre_market,returns_matrix.csv,FALSE,,TRUE,TRUE,SELL,,20116,HOLD,,5799,SELL,,13015,HOLD,,12819,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
52,Lululemon|2026|Q1,Lululemon,LULU,2026,Q1,-0.41,SELL,0.006916,20260812_183842,deepseek-chat,,2026-06-04,2026-06-04,124.92,2026-06-05,110.43,-11.5994,DOWN,YES,-1,0.114994,2026-06-04,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,SELL,,18656,SELL,,8799,SELL,,7819,SELL,,13053,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
53,Lululemon|2025|Q3,Lululemon,LULU,2025,Q3,-0.23,SELL,0.008574,20260812_183842,deepseek-chat,,2025-12-11,2025-12-11,187.01,2025-12-12,204.58,9.3952,UP,NO,-1,-0.094952,2025-12-11,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,SELL,,23911,SELL,,9614,SELL,,8549,SELL,,16148,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
54,Lululemon|2025|Q4,Lululemon,LULU,2025,Q4,-0.32,SELL,0.008551,20260812_183842,deepseek-chat,,2026-03-17,2026-03-17,159.27,2026-03-18,158.04,-0.7723,FLAT,NO,-1,0.006723,2026-03-17,after_hours,returns_matrix.csv,FALSE,,TRUE,TRUE,SELL,,24157,SELL,,10491,SELL,,7684,SELL,,17828,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
55,Maersk|2025|Q1,Maersk,AMKBY,2025,Q1,-0.135,SELL,0.005196,20260812_183842,deepseek-chat,,2025-05-07,2025-05-07,8.58,2025-05-08,8.72,1.6317,FLAT,NO,-1,-0.017317,2025-05-07,after_hours,returns_matrix.csv,TRUE,timing unresolved (non-US issuer),FALSE,FALSE,,,,,,,,,,,,,"w=[0.55,0.45,0,0] thr=(+0.25,-0.05), deployed default (risk-accepted, PSR=0.0/perm p=0.150 at N=161, not rechecked at N=268)"
