statistic,value,n,definition,event_set,convention,test,source_files
llm_call_sell_frac,0.2647,170,Fraction of SELL calls by llm arm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_traded_count,130,170,Events where human called BUY or SELL,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_graded_count,78,130,Traded events with |ret_overnight| > 2%,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_correct_count,44,78,Graded events where call matches return sign,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
human_accuracy,0.5641,78,correct / graded for human,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_traded_count,117,170,Events where llm called BUY or SELL,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_graded_count,69,117,Traded events with |ret_overnight| > 2%,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_correct_count,43,69,Graded events where call matches return sign,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
llm_accuracy,0.6232,69,correct / graded for llm,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
always_buy_baseline_graded,0.3918,97,Fraction with ret > 0 among events with |ret| > 2%,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
always_buy_baseline_graded_count,38/97,97,always-BUY correct / total graded events,"N=170 paired events (section=All, first_rater=YES, in_llm=YES, exclusion set applied)",±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_n,54,54,Events where both arms traded and |ret|>2%,N=54 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_llm_correct,33,54,LLM correct in paired graded set,N=54 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_llm_accuracy,0.6111,54,,N=54 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_human_correct,32,54,Human correct in paired graded set,N=54 events where both arms traded AND |ret|>2%,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_human_accuracy,0.5926,54,,N=54 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_diff_pp,1.9,54,LLM accuracy - Human accuracy (pp),N=54 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_90ci_low_pp,-9.3,54,,N=54 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_90ci_high_pp,13.0,54,,N=54 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_p_value,0.891,54,,N=54 events where both arms traded AND |ret|>2%,,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
paired_graded_mde_pp,26,54,MDE = 2*1.96*sqrt(p*(1-p)/n) in pp,N=54 events where both arms traded AND |ret|>2%,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_only_n,85,85,Events where both arms called BUY or SELL,N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sign_accuracy,0.5765,85,Human sign accuracy (call matches ret sign),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sign_correct,49/85,85,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sign_accuracy,0.5882,85,LLM sign accuracy (call matches ret sign),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sign_correct,50/85,85,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_buy_accuracy,0.4588,85,Fraction with ret > 0,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_buy_correct,39/85,85,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_down_accuracy,0.5412,85,Fraction with ret <= 0 (zero counted as DOWN),N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_always_down_correct,46/85,85,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_n_zero_return,1,85,Events with exactly zero overnight return,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_minus_human_pp,1.2,85,LLM sign accuracy - Human sign accuracy (pp),N=85 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_90ci_low_pp,-5.9,85,,N=85 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_90ci_high_pp,8.2,85,,N=85 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_p_value,0.889,85,,N=85 events where both arms called BUY or SELL (direction-only),,"bootstrap paired, 10000 resamples, seed 20260709",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_vs_always_down_p,0.224,85,Human sign accuracy vs always-DOWN rate (strict negative),N=85 events where both arms called BUY or SELL (direction-only),,"binomial test one-sided greater, p0=0.5294",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_vs_always_down_p,0.164,85,LLM sign accuracy vs always-DOWN rate (strict negative),N=85 events where both arms called BUY or SELL (direction-only),,"binomial test one-sided greater, p0=0.5294",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_mde_pp,21,85,MDE = 2*1.96*sqrt(p*(1-p)/n) in pp,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_accuracy,0.5238,63,human BUY accuracy (fraction correct among BUY calls),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_correct,33/63,63,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_vs_50pct_p,0.401,63,,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_buy_vs_base_rate_p,0.182,63,vs overall positive rate = 0.4588,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.4588",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_accuracy,0.7273,22,human SELL accuracy (fraction correct among SELL calls),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_correct,16/22,22,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_vs_50pct_p,0.026,22,,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_human_sell_vs_base_rate_p,0.060,22,vs overall negative rate = 0.5412,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5412",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_accuracy,0.5424,59,llm BUY accuracy (fraction correct among BUY calls),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_correct,32/59,59,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_vs_50pct_p,0.301,59,,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_buy_vs_base_rate_p,0.124,59,vs overall positive rate = 0.4588,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.4588",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_accuracy,0.6923,26,llm SELL accuracy (fraction correct among SELL calls),N=85 events where both arms called BUY or SELL (direction-only),"sign accuracy, no band filter",,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_correct,18/26,26,,N=85 events where both arms called BUY or SELL (direction-only),,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_vs_50pct_p,0.038,26,,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
direction_llm_sell_vs_base_rate_p,0.087,26,vs overall negative rate = 0.5412,N=85 events where both arms called BUY or SELL (direction-only),,"binomial test, p0=0.5412",data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_n,33,33,Events with repricing_basis_class == fact_based,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_graded,11,19,human graded in fact_based subset,N=33 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_correct,4,11,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_human_accuracy,0.3636,11,human accuracy in fact_based subset,N=33 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_graded,10,19,llm graded in fact_based subset,N=33 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_correct,8,10,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_llm_accuracy,0.8000,10,llm accuracy in fact_based subset,N=33 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_graded_n,8,8,Events where both arms traded + |ret|>2% in fact_based,N=33 fact_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_llm_accuracy,0.7500,8,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_human_accuracy,0.3750,8,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_diff_pp,37.5,8,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_p_value,0.209,8,,N=33 fact_based events,,bootstrap paired,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_fact_based_paired_mde_pp,60,8,,N=33 fact_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_n,64,64,Events with repricing_basis_class == price_based,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_graded,39,53,human graded in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_correct,27,39,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_human_accuracy,0.6923,39,human accuracy in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_graded,34,45,llm graded in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_correct,16,34,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_llm_accuracy,0.4706,34,llm accuracy in price_based subset,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_graded_n,26,26,Events where both arms traded + |ret|>2% in price_based,N=64 price_based events,±2% overnight band,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_llm_accuracy,0.5000,26,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_human_accuracy,0.6538,26,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_diff_pp,-15.4,26,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_p_value,0.025,26,,N=64 price_based events,,bootstrap paired,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
rbc_price_based_paired_mde_pp,38,26,,N=64 price_based events,,,data/human/human_decisions_export_2026-08-12.csv; outputs/global/summary/global_outcome_calibration_phase2.csv; outputs/global/summary/returns_matrix.csv; outputs/global/summary/worksheet_leak_flags.csv
