metric_name,value,unit,n,denominator_definition,event_set,convention,ci_low,ci_high,ci_level,p_value,mde,test_used,threshold_dependent,source_file,notes
item_c_all_n200_press_release_accuracy,62.5%,percent,56,graded events (|ret|>2%) in all_n200,all_n200,"HOLD-excluded, ±2% overnight band",,,,,,,TRUE,section_ablation_cost_per_correct.csv,35/56; calls=200; mean_tokens=15298
item_c_all_n200_press_release_cost_per_correct,$0.0290,USD per correct call,35,,all_n200,,,,,,,,TRUE,section_ablation_cost_per_correct.csv,total_cost=$1.0149; total_tokens=3059630
item_c_all_n200_press_release_mean_tokens,15298,tokens per call,,,all_n200,,,,,,,,FALSE,section_ablation_cost_per_correct.csv,
item_c_all_n200_prepared_remarks_accuracy,63.4%,percent,41,graded events (|ret|>2%) in all_n200,all_n200,"HOLD-excluded, ±2% overnight band",,,,,,,TRUE,section_ablation_cost_per_correct.csv,26/41; calls=119; mean_tokens=10287
item_c_all_n200_prepared_remarks_cost_per_correct,$0.0208,USD per correct call,26,,all_n200,,,,,,,,TRUE,section_ablation_cost_per_correct.csv,total_cost=$0.5412; total_tokens=1224173
item_c_all_n200_prepared_remarks_mean_tokens,10287,tokens per call,,,all_n200,,,,,,,,FALSE,section_ablation_cost_per_correct.csv,
item_c_all_n200_qa_only_accuracy,68.4%,percent,38,graded events (|ret|>2%) in all_n200,all_n200,"HOLD-excluded, ±2% overnight band",,,,,,,TRUE,section_ablation_cost_per_correct.csv,26/38; calls=119; mean_tokens=13163
item_c_all_n200_qa_only_cost_per_correct,$0.0229,USD per correct call,26,,all_n200,,,,,,,,TRUE,section_ablation_cost_per_correct.csv,total_cost=$0.5952; total_tokens=1566442
item_c_all_n200_qa_only_mean_tokens,13163,tokens per call,,,all_n200,,,,,,,,FALSE,section_ablation_cost_per_correct.csv,
item_c_paired_press_release_vs_full_bundle_strict_(both_graded),0.0,fraction diff,45,,four_arm,strict (both graded),0.0,0.0,,1.0,,,TRUE,section_ablation_paired_diffs.csv,All 45 events where both arms breach ±2% have identical signals — zero information
item_c_paired_press_release_vs_full_bundle_inclusive_(either_graded_ungraded=0.5),-0.0682,fraction diff,66,,four_arm,"inclusive (either graded, ungraded=0.5)",-0.1212,-0.0152,,0.0548,,,TRUE,section_ablation_paired_diffs.csv,Full bundle outperforms by 6.8pp when ungraded events scored at 0.5
item_c_paired_prepared_remarks_vs_full_bundle_strict_(both_graded),-0.0189,fraction diff,53,,four_arm,strict (both graded),-0.0566,0.0,,0.7284,,,TRUE,section_ablation_paired_diffs.csv,
item_c_paired_prepared_remarks_vs_full_bundle_inclusive_(either_graded_ungraded=0.5),-0.0403,fraction diff,62,,four_arm,"inclusive (either graded, ungraded=0.5)",-0.0887,0.0081,,0.201,,,TRUE,section_ablation_paired_diffs.csv,
item_c_paired_qa_only_vs_full_bundle_strict_(both_graded),-0.0233,fraction diff,43,,four_arm,strict (both graded),-0.093,0.0465,,0.7934,,,TRUE,section_ablation_paired_diffs.csv,
item_c_paired_qa_only_vs_full_bundle_inclusive_(either_graded_ungraded=0.5),-0.053,fraction diff,66,,four_arm,"inclusive (either graded, ungraded=0.5)",-0.1288,0.0227,,0.2686,,,TRUE,section_ablation_paired_diffs.csv,
frontier_Majority-class_HOLD_accuracy_flat_excluded,54.6%,percent,119,"graded events, FLAT-excluded","eval split (186 events, 119 graded)",,0.471, 0.622,90%,,,,FALSE,frontier_table.csv,Always predicts HOLD; 0 trades. FLAT-excluded: always-DOWN = 65/119.
frontier_Majority-class_HOLD_accuracy_flat_wrong,36.0%,percent,186,"all eval events, HOLD=wrong",eval split (186 events),,,,,,,,FALSE,frontier_table.csv,
frontier_Loughran-McDonald_(LM)_accuracy_flat_excluded,15.1%,percent,119,"graded events, FLAT-excluded","eval split (186 events, 119 graded)",,0.101, 0.210,90%,,,,FALSE,frontier_table.csv,"pysentiment2 word-count score, no API cost. FLAT-excluded: 18/119."
frontier_Loughran-McDonald_(LM)_accuracy_flat_wrong,34.9%,percent,186,"all eval events, HOLD=wrong",eval split (186 events),,,,,,,,FALSE,frontier_table.csv,
frontier_FinBERT_(ProsusAI_finbert)_accuracy_flat_excluded,34.4%,percent,119,"graded events, FLAT-excluded","eval split (186 events, 119 graded)",,0.277, 0.420,90%,,,,FALSE,frontier_table.csv,"512-token chunks, token-weighted avg; local compute only. FLAT-excluded: 41/119."
frontier_FinBERT_(ProsusAI_finbert)_accuracy_flat_wrong,32.3%,percent,186,"all eval events, HOLD=wrong",eval split (186 events),,,,,,,,FALSE,frontier_table.csv,
frontier_Deployed_model_(DeepSeek_0.55_0.45_micro_macro)_accuracy_flat_excluded,42.9%,percent,119,"graded events, FLAT-excluded","eval split (186 events, 119 graded)",,0.353, 0.504,90%,,,,FALSE,frontier_table.csv,Structured output with evidence quotes; API cost per document. FLAT-excluded: 51/119.
frontier_Deployed_model_(DeepSeek_0.55_0.45_micro_macro)_accuracy_flat_wrong,44.1%,percent,186,"all eval events, HOLD=wrong",eval split (186 events),,,,,,,,FALSE,frontier_table.csv,
walkforward_n_windows,4,,,,,,,,,,,,FALSE,item_e_walkforward.json,
walkforward_degeneracy_finding,"{'mean_net_degenerate': 3, 'accuracy_degenerate': 2, 'total_windows': 4, 'both_degenerate': True}",,,,,,,,,,,,FALSE,item_e_walkforward.json,Both mean-net and accuracy objectives tried; both degenerate
walkforward_mean_net_objective_degenerate_windows,,,,,walk-forward mean_net_objective,,,,,,,,FALSE,item_e_walkforward.json,
walkforward_accuracy_objective_degenerate_windows,,,,,walk-forward accuracy_objective,,,,,,,,FALSE,item_e_walkforward.json,
in_sample_deployed_accuracy,65.3%,percent,95,"graded events, deployed thresholds, full N=233",N=233 clean universe,,,,,,,,TRUE,item_e_walkforward.json,62/95; trades=146
eval_split_always_down_floor,54.6%,percent,119,65/119 graded eval events have negative return,"eval split (latest 80% by release_date, 186 events, 119 graded)",,,,,,,,FALSE,frontier_table.csv,
eval_split_accuracy,68.0%,percent,75,traded+graded events in eval split,"eval split, N=186",,,,,0.013,±14.4pp,binomial vs always-DOWN floor 54.6%,TRUE,surviving_findings.md,"51/75; margin +13.4pp; sorted by release_date, latest 80%"
dev_split_accuracy,55.0%,percent,20,traded+graded events in dev split,"dev split, N=47 (earliest 20% by release_date)",,,,,,±27.8pp,,TRUE,surviving_findings.md,"11/20; margin +1.4pp vs floor 53.6% — not significant, underpowered"
cross_issuer_accuracy,63.5%,percent,52,graded events in 29 post-sweep issuers,"N=101 post-sweep events, 29 issuers (2 further timing-excluded)",,,,,0.0627,±20.8pp,binomial vs always-DOWN floor,TRUE,item_e_walkforward.json,"33/52; floor=51.9%; RECONSTRUCTED subset — sweep membership inferred from issuer order; cross-issuer test only, NOT temporal generalisation; dates overlap with in-sweep events (both span 2023-2026)"
